Name,"Case Number",City,State,"Date Filed","Region Assigned",Status,"Date Closed","Reason Closed","No. of Eligible Voters","No. of Employees","Certified Representative","Unit Sought"
"Mayo Clinic Health System - Albert Lea Campus",18-CA-284407,"Albert Lea",MN,10/12/2021,"Region 18, Minneapolis, Minnesota",Open,,,,80,,
"United Food and Commercial Workers Local 880 (Dave's Market Shore Center Store #13)",08-CB-284391,Euclid,OH,10/12/2021,"Region 08, Cleveland, Ohio",Open,,,,50,,
"United States Postal Service",10-CA-284250,Rome,GA,10/12/2021,"Region 10, Atlanta, Georgia",Open,,,,75,,
"National Rural Letter Carriers' Association (United States Postal Service)",27-CB-284319,Conifer,CO,10/12/2021,"Region 27, Denver, Colorado",Open,,,,100,,
"The Public Utility Construction and Gas Appliance Workers of the State of New Jersey United Association Local Union 855 (Public Service Electric and Gas)",22-CB-284353,"East Orange",NJ,10/12/2021,"Region 22, Newark, New Jersey",Open,,,,12,,
"The Mockingbird Society",19-CA-284328,Seattle,WA,10/12/2021,"Region 19, Seattle, Washington",Open,,,,30,,
"United States Postal Service",14-CA-284297,"Grand Island",NE,10/12/2021,"Region 14, Saint Louis, Missouri",Open,,,,25,,
"Mayo Clinic Health System - Austin Campus",18-CA-284413,Austin,MN,10/12/2021,"Region 18, Minneapolis, Minnesota",Open,,,,168,,
AT&T,16-CA-284377,Dallas,TX,10/12/2021,"Region 16, Fort Worth, Texas",Open,,,,10,,
"National Association of Letter Carriers, Branch 516 (United States Postal Service)",15-CB-284323,Greenville,MS,10/12/2021,"Region 15, New Orleans, Louisiana",Open,,,,10,,
"Midwest Turf Contractors, Inc.",14-CA-284303,O'Fallon,MO,10/12/2021,"Region 14, Saint Louis, Missouri",Open,,,,8,,
"Arab-American Family Support Center",29-CA-284415,Brooklyn,NY,10/12/2021,"Region 29, Brooklyn, New York",Open,,,,100,,
"Finch Paper LLC",03-CA-284239,"Glens Falls",NY,10/12/2021,"Region 03, Buffalo, New York",Open,,,,400,,
"Fairmont - Mayo Clinic Health System",18-CA-284398,Fairmont,MN,10/12/2021,"Region 18, Minneapolis, Minnesota",Open,,,,58,,
"Bimbo Bakeries USA",16-CA-284378,"Fort Worth",TX,10/12/2021,"Region 16, Fort Worth, Texas",Open,,,,21,,
"Henry Ford Allegiance Health",07-CA-284308,Jackson,MI,10/12/2021,"Region 07, Detroit, Michigan",Open,,,,10,,
"G&D Integrated Manufacturing, LLC",25-CA-284280,Morton,IL,10/12/2021,"Region 25, Indianapolis, Indiana",Open,,,,19,,
"G&D Integrated Manufacturing, LLC",25-CA-284291,Morton,IL,10/12/2021,"Region 25, Indianapolis, Indiana",Open,,,,19,,
"Forterra NW",19-RC-284341,Seattle,WA,10/12/2021,"Region 19, Seattle, Washington",Open,,,,42,,"Included:  

All regular part time and full time employees employed by the employer excluding all managerial, confidential and supervisory employees.
Included job titles: Associate Philanthropy Director, Annual Giving & Stewardship, Associate Philanthropy Director, Foundation Relations, Associate Philanthropy Director, Institutional Engagement,
Associate Philanthropy Director, Major Gifts, Chehalis Basin Conservation Director, Creative Services Senior Project Manager, Database Specialist, Digital Marketing Manager, Director Impact Relations, Director of Community Development, Director of Riparian Restoration, Event Manager, Geospatial Director, Government Affairs Director, Green Cities Program Manager, Green Cities Project Manager, Green Cities Project Manager II, Green Cities, Stewardship Coordinator, IT Manager, Lands Manager, Philanthropy Officer, Program Manager, Conservation Transactions, Project Associate, Business Development, Project Manager, Business Development, Project Manager, Community Development, Project Manager, Conservation Transactions, Project Manager, Innovations, Project Manager, Riparian Restoration, Project Manager, Transactions Construction & Development, Riparian Restoration Project Manager, Senior Accountant, Senior Construction Manager, Senior Development and Construction Manager, Senior Director, Community Development, Senior Green Cities Project Manager, Senior Project Manager, Business Development, Sr Project Manager, Conservation Transactions, Staff Accountant, Website & Audience Growth Manager.

Excluded:  

All managerial, confidential and supervisory employees.     
"
"Kroger Company",07-CA-284350,Troy,MI,10/12/2021,"Region 07, Detroit, Michigan",Open,,,,100,,
"Dollar General",01-CA-284330,Barkhamsted,CT,10/12/2021,"Region 01, Boston, Massachusetts",Open,,,,5,,
"Resources for Children with Special Needs, Inc. d/b/a INCLUDEnyc",02-RC-284372,"New York",NY,10/12/2021,"Region 02, New York, New York",Open,,,,25,,"Included:
All full time and regular part time employed by the Employer

Excluded:
All confidential employees, managers, guards and supervisors as defined by the Act.
"
"Service Corporation International d/b/a Woodlawn Memorial Park",20-CA-284546,Colma,CA,10/12/2021,"Region 20, San Francisco, California",Open,,,,14,,
"Glosslab 180 West Broadway, LLC",02-CA-284471,"New York",NY,10/12/2021,"Region 02, New York, New York",Open,,,,14,,
"AT&T Mobility",20-CA-284491,Sacramento,CA,10/12/2021,"Region 20, San Francisco, California",Open,,,,500,,
"Merck & Co., Inc",04-CA-284408,"Upper Gwynedd",PA,10/11/2021,"Region 04, Philadelphia, Pennsylvania",Open,,,,6000,,
"APT Electrical Contracting, Inc.",04-CA-284419,"Fort Washington",PA,10/11/2021,"Region 04, Philadelphia, Pennsylvania",Open,,,,14,,
"APT Electrical Contracting, inc.",04-CA-284437,"Fort Washington",PA,10/11/2021,"Region 04, Philadelphia, Pennsylvania",Open,,,,14,,
"Prospect Medical Holdings d/b/a Crozer Chester Medical Center",04-CA-284351,Upland,PA,10/11/2021,"Region 04, Philadelphia, Pennsylvania",Open,,,,500,,
"UPMC and its subsidiary, UPMC Presbyterian Shadyside",06-CA-284290,Pittsburgh,PA,10/11/2021,"Region 06, Pittsburgh, Pennsylvania",Open,,,,2500,,
"SpArc Philadelphia",04-CA-284363,Philadelphia,PA,10/09/2021,"Region 04, Philadelphia, Pennsylvania",Open,,,,50,,
"Sherwin Williams",08-CA-284298,"Bedford Heights",OH,10/08/2021,"Region 08, Cleveland, Ohio",Open,,,,500,,
"CAPITAL CITY GROUP",09-CA-284255,Columbus,OH,10/08/2021,"Region 09, Cincinnati, Ohio",Open,,,,75,,
"United States Postal Service",16-CA-284275,Porter,TX,10/08/2021,"Region 16, Fort Worth, Texas",Open,,,,50,,
"UNITE HERE LOCAL 26 (Encore Casino Wynn, MA, LLC)",01-CB-284329,Everett,MA,10/08/2021,"Region 01, Boston, Massachusetts",Open,,,,2000,,
"Sterling Development",07-CA-284194,"Bloomfield Hills",MI,10/08/2021,"Region 07, Detroit, Michigan",Open,,,,50,,
"Reach Cyber Charter School",04-CA-284327,"Lafayette Hill",PA,10/08/2021,"Region 04, Philadelphia, Pennsylvania",Open,,,,100,,
"United States Postal Service",15-CA-284211,"Little Rock",AR,10/08/2021,"Region 15, New Orleans, Louisiana",Open,,,,500,,
"I.L.A local 1416",12-CB-284198,Miami,FL,10/08/2021,"Region 12, Tampa, Florida",Open,,,,10,,
"ATI Wah Chang",19-CA-284210,Millersburg,OR,10/08/2021,"Region 19, Seattle, Washington",Open,,,,1000,,
"McLean Hospital",01-CA-284354,Belmont,MA,10/08/2021,"Region 01, Boston, Massachusetts",Open,,,,1000,,
"Fred Meyer Stores, Inc.",19-RC-284235,Richland,WA,10/08/2021,"Region 19, Seattle, Washington",Open,,,,240,,"Included: All full time and regular part time employees in Grocery, Meat, Deli/Starbucks, Produce/floral, Bakery, Clicklist, Home, Apparel, Nutrition, Health and Beauty (GM), CCK/Front End. Excluding: Pharmacy & Jewelry, all office and clerical workers, Security/Loss Prevention, HR and Managers as per the NLRA."
"Falck Ambulance Company",32-CA-284425,Hayward,CA,10/08/2021,"Region 32, Oakland, California",Open,,,,450,,
"UNITED PARCEL SERVICE",16-CA-284220,Houston,TX,10/08/2021,"Region 16, Fort Worth, Texas",Open,,,,100,,
"United States Postal Service",16-CA-284279,Rosenberg,TX,10/08/2021,"Region 16, Fort Worth, Texas",Open,,,,50,,
"10 Roads Express LLC",13-CA-284493,"Bedford Park",IL,10/08/2021,"Region 13, Chicago, Illinois",Open,,,,80,,
Avancez,16-CA-284304,Arlington,TX,10/08/2021,"Region 16, Fort Worth, Texas",Open,,,,1000,,
"United Steel Workers Local 14919 (Sherwin-Williams)",08-CB-284300,"Bedford Heights",OH,10/08/2021,"Region 08, Cleveland, Ohio",Open,,,,500,,
"MV Transportation",21-CA-284262,"Los Angeles",CA,10/08/2021,"Region 21, Los Angeles, California",Open,,,,150,,
"Fox Alternative Entertainment, LLC",31-CA-284345,"Los Angeles",CA,10/08/2021,"Region 31, Los Angeles, California",Open,,,,500,,
"Ohio Edison a First Energy Corporation",08-CA-284185,Akron,OH,10/08/2021,"Region 08, Cleveland, Ohio",Open,,,,12153,,
"Intermodal Mexica USA, LLC",12-CA-284348,"Fort Lauderdale",FL,10/08/2021,"Region 12, Tampa, Florida",Open,,,,35,,
"Tootsie Roll Industries LLC",13-CA-284241,"Bedford Park",IL,10/08/2021,"Region 13, Chicago, Illinois",Open,,,,250,,
"San Luis Ambulance",31-CA-284433,"San Luis Obispo",CA,10/08/2021,"Region 31, Los Angeles, California",Open,,,,95,,
"Cumulus Media, Inc., d/b/a WGLO Radio in Peoria",25-CA-284256,Peoria,IL,10/08/2021,"Region 25, Indianapolis, Indiana",Open,,,,7,,
"SEIU Local 32BJ",02-CB-284380,Manhattan,NY,10/08/2021,"Region 02, New York, New York",Open,,,,100,,
"360 Sheetmetal, LLC",19-CA-284208,Vancouver,WA,10/08/2021,"Region 19, Seattle, Washington",Open,,,,15,,
"AAA Northern California, Nevada & Utah",32-CA-284409,Stockton,CA,10/08/2021,"Region 32, Oakland, California",Open,,,,500,,
"Third Day Broadcasting, Inc.",14-CA-284218,Okmulgee,OK,10/08/2021,"Region 14, Saint Louis, Missouri",Open,,,,3,,
"Valiant Government Services LLC",31-RC-284233,"Fort Irwin",CA,10/08/2021,"Region 31, Los Angeles, California",Open,,,,5,,"Included: All full-time hourly General Maintenance, Electricians, Plumbers, and HY AC 
employees employed at this location. 

Excluded: AII other employees, temporary workers, office clerical employees, and supervisors as defined by the Act."
"Cumulus Media, Inc., d/b/a WGLO Radio in Peoria",25-CA-284278,Peoria,IL,10/08/2021,"Region 25, Indianapolis, Indiana",Open,,,,7,,
"Power Home Solar, Inc.",07-CA-284286,Chesterfield,MI,10/08/2021,"Region 07, Detroit, Michigan",Open,,,,30,,
"President and Trustees of Bates College",01-RC-284384,Lewiston,ME,10/08/2021,"Region 01, Boston, Massachusetts",Open,,,,652,,"Included:
All non-tenure and non-tenure track faculty and all staff not excluded below.
Excluded:
All managers, tenured and tenure track faculty, confidential employees, guards and sup"
"Electric Last Mile Solutions Inc.",25-CA-284259,Mishawaka,IN,10/08/2021,"Region 25, Indianapolis, Indiana",Open,,,,20,,
"MS Industrial Sheet Metal Inc. dba Baghouse & Industrial Sheet Metal Services Inc.",21-CA-284254,Corona,CA,10/08/2021,"Region 21, Los Angeles, California",Open,,,,80,,
"Integrity National Corporation",27-RC-284253,Denver,CO,10/08/2021,"Region 27, Denver, Colorado",Open,,,,12,,"Include: All full-time and regular part-time janitors. Exclude: All others"
"Centerra Group, LLC",14-RC-284203,Independence,MO,10/08/2021,"Region 14, Saint Louis, Missouri",Open,,,,15,,"Included: All full & part-time guards at the facility.
Excluded: Office clericals, professional employees, managers & supervisors as defined by NLRA"
"United Automobile Workers (Stellantis)",08-CB-284245,Toledo,OH,10/08/2021,"Region 08, Cleveland, Ohio",Open,,,,7000,,
"Local Union No. 1 BCTG (Tootsie Roll Industries, LLC)",13-CB-284244,"Bedford Park",IL,10/08/2021,"Region 13, Chicago, Illinois",Open,,,,250,,
"United States Postal Service",16-CA-284289,"Texas City",TX,10/08/2021,"Region 16, Fort Worth, Texas",Open,,,,50,,
"Saint Leo University",12-CA-284360,"Saint Leo",FL,10/08/2021,"Region 12, Tampa, Florida",Open,,,,150,,
"Annapolis Bus Company, Inc.",05-RC-284207,Annapolis,MD,10/08/2021,"Region 05, Baltimore, Maryland",Open,,,,60,,"Included: All bus operators and bus operator aides (eMMA Vendor ID SUP146268)) Excluded: Supervisors and office/clerical employees"
"Sunbelt Rentals Climate Control",22-CA-284215,Linden,NJ,10/08/2021,"Region 22, Newark, New Jersey",Open,,,,20,,
"APWU Wilmington DE Local Malcolm T. Smith (US Postal Service)",04-CB-284190,Wilmington,DE,10/08/2021,"Region 04, Philadelphia, Pennsylvania",Open,,,,20,,
"Middle River Aerostructure Systems",05-CA-284222,"Middle River",MD,10/08/2021,"Region 05, Baltimore, Maryland",Open,,,,850,,
"G&D Integrated Manufacturing, LLC",25-CA-284249,Morton,IL,10/08/2021,"Region 25, Indianapolis, Indiana",Open,,,,19,,
"Travis Airforce Base Child Development Center",20-CA-284270,Fairfield,CA,10/08/2021,"Region 20, San Francisco, California",Open,,,,100,,
"CentraCare d/b/a/ Sauk Centre Hospital",18-CA-284302,"Sauk Centre",MN,10/08/2021,"Region 18, Minneapolis, Minnesota",Open,,,,70,,
"AAA Northern California, Nevada & Utah",20-CA-284664,Phoenix,AZ,10/08/2021,"Region 20, San Francisco, California",Open,,,,500,,
"AAA Northern California, Nevada & Utah",20-CA-284659,Phoenix,AZ,10/08/2021,"Region 20, San Francisco, California",Open,,,,500,,
"Lumen Technologies, Inc.",19-CA-284277,Kent,WA,10/08/2021,"Region 19, Seattle, Washington",Open,,,,50000,,
"Los Robles Regional Medical Center",31-CA-284429,"Thousand Oaks",CA,10/08/2021,"Region 31, Los Angeles, California",Open,,,,750,,
"G&D Integrated Manufacturing, LLC",25-CA-284227,Morton,IL,10/08/2021,"Region 25, Indianapolis, Indiana",Open,,,,19,,
"GE APPLIANCES, A HAIER COMPANY",09-CA-284228,Louisville,KY,10/08/2021,"Region 09, Cincinnati, Ohio",Open,,,,7100,,
"G&D Integrated Manufacturing, LLC",25-CA-284242,Morton,IL,10/08/2021,"Region 25, Indianapolis, Indiana",Open,,,,19,,
"Special Patrolmen Benevolent Association (Hunts Point Terminal Produce Cooperative Association, Inc.)",02-CB-284257,Bronx,NY,10/08/2021,"Region 02, New York, New York",Open,,,,100,,
"American Medical Response (AMR), Mid-Atlantic, Inc",05-CA-284263,Washington,DC,10/08/2021,"Region 05, Baltimore, Maryland",Open,,,,100,,
"Goldenwood Truss Corporation",31-CA-284422,Ventura,CA,10/08/2021,"Region 31, Los Angeles, California",Open,,,,2,,
"GE APPLIANCES, A HAIER COMPANY",09-CA-284214,Louisville,KY,10/08/2021,"Region 09, Cincinnati, Ohio",Open,,,,7100,,
"TWU AFL-CIO/LOCAL 252 (TRANSDEV NICE)",29-CB-284204,"Garden City",NY,10/08/2021,"Region 29, Brooklyn, New York",Open,,,,250,,
"Regional Ready Mix, LLC",25-CA-284273,Rochelle,IL,10/08/2021,"Region 25, Indianapolis, Indiana",Open,,,,15,,
"The New School",02-CA-284306,"New York",NY,10/08/2021,"Region 02, New York, New York",Open,,,,1000,,
"Chicago Midwest Regional Joint Board and Workers United/Service Employees International Union, Local 10 (Crescent Hotel & Resorts, LLC d/b/a Doubletree by Hilton)",08-CB-284151,Cleveland,OH,10/07/2021,"Region 08, Cleveland, Ohio",Open,,,,35,,
"International Automotive Components",25-CA-284155,Greencastle,IN,10/07/2021,"Region 25, Indianapolis, Indiana",Open,,,,210,,
"Berkshire VNA",01-RC-284178,Pittsfield,MA,10/07/2021,"Region 01, Boston, Massachusetts",Open,,,,66,,"Included: All full time, part time, and Per Diem Berkshire VNA RNs & Health Care Professionals
Excluded: Guards and supervisors, all other employees as defined by the Act."
"Serenity Environmental Services, Inc.",13-CA-284165,Hobart,IN,10/07/2021,"Region 13, Chicago, Illinois",Open,,,,10,,
"Venture House, Inc.",29-CA-284187,"Staten Island",NY,10/07/2021,"Region 29, Brooklyn, New York",Open,,,,25,,
"International Brotherhood of Electrical Workers, Local 349 (Various Employer)",12-CB-284150,Miami,FL,10/07/2021,"Region 12, Tampa, Florida",Open,,,,100,,
"DOS - Miami Shores Nursing and Rehabilitation Center",12-CA-284163,Miami,FL,10/07/2021,"Region 12, Tampa, Florida",Open,,,,80,,
"Lumen (formerly CenturyLink)",28-CA-284264,Albuquerque,NM,10/07/2021,"Region 28, Phoenix, Arizona",Open,,,,50,,
"SOLUTION ONE INDUSTRIES",09-CA-284213,Lexington,KY,10/07/2021,"Region 09, Cincinnati, Ohio",Open,,,,160,,
"United Parcel Service",32-CA-284223,Stockton,CA,10/07/2021,"Region 32, Oakland, California",Open,,,,160,,
MyGirlFund,27-CA-284231,Denver,CO,10/07/2021,"Region 27, Denver, Colorado",Open,,,,1000,,
"APWU Chicago Area Local 1 (United States Postal Service)",13-CB-284174,Chicago,IL,10/07/2021,"Region 13, Chicago, Illinois",Open,,,,100,,
"MultiCare Good Samaritan Hospital",19-CA-284199,Tacoma,WA,10/07/2021,"Region 19, Seattle, Washington",Open,,,,877,,
"United States Postal Service",15-CA-284230,Shreveport,LA,10/07/2021,"Region 15, New Orleans, Louisiana",Open,,,,200,,
"OHIO RIVER VALLEY ENVIRONMENTAL COALITION, INC.",09-CA-284186,Huntington,WV,10/07/2021,"Region 09, Cincinnati, Ohio",Open,,,,1,,
"Kellogg Company",07-CA-284183,"Battle Creek",MI,10/07/2021,"Region 07, Detroit, Michigan",Open,,,,1336,,
"NR Shop LLC d/b/a Key Food",02-CA-284316,Bronx,NY,10/07/2021,"Region 02, New York, New York",Open,,,,21,,
"International Automotive Components",25-CA-284180,Greencastle,IN,10/07/2021,"Region 25, Indianapolis, Indiana",Open,,,,210,,
"Metro-Goldwyn-Mayer Studios d/b/a 212 Productions, LLC",31-CA-284158,"Beverly Hills",CA,10/07/2021,"Region 31, Los Angeles, California",Open,,,,500,,
"United States Postal Service",10-CA-284124,Kannapolis,NC,10/07/2021,"Region 10, Atlanta, Georgia",Open,,,,30,,
"Community Health Systems and Tunkhannock Hospital Company LLC as a single employer",04-CA-284287,"Tunkhannock (Township)",PA,10/07/2021,"Region 04, Philadelphia, Pennsylvania",Open,,,,40,,
"United States Postal Service",14-CA-284170,"Kansas City",KS,10/07/2021,"Region 14, Saint Louis, Missouri",Open,,,,500,,
"ENTERTAINMENT LIVE EVENTS, LLC D/B/A NORTH SHORE MUSIC THEATRE",01-CA-284184,Beverly,MA,10/07/2021,"Region 01, Boston, Massachusetts",Open,,,,30,,
"G4S Secure Solutions USA, Inc.",28-RD-284221,Tucson,AZ,10/07/2021,"Region 28, Phoenix, Arizona",Open,,,,9,,"INCLUDED:  All full-time and flex officers

EXCLUDED:  All other employees"
"BIMBO BAKERIES USA",16-CA-284229,McKinney,TX,10/07/2021,"Region 16, Fort Worth, Texas",Open,,,,21,,
DirecTV/AT&T,28-CA-284416,"Las Vegas",NV,10/07/2021,"Region 28, Phoenix, Arizona",Open,,,,75,,
"Crest Fresh Market",14-CA-284140,Norman,OK,10/07/2021,"Region 14, Saint Louis, Missouri",Open,,,,50,,
"United States Postal Service",12-CA-284154,Carolina,PR,10/07/2021,"Region 12, Tampa, Florida",Open,,,,110,,
"U. S. Postal Service",04-CA-284167,Wilmington,DE,10/07/2021,"Region 04, Philadelphia, Pennsylvania",Open,,,,100,,
"Erie Strayer Company",06-CA-284168,Erie,PA,10/07/2021,"Region 06, Pittsburgh, Pennsylvania",Open,,,,20,,
"Communications Workers of America(AT&T)",12-CB-284251,Jacksonville,FL,10/07/2021,"Region 12, Tampa, Florida",Open,,,,100,,
"D H Griffin Wrecking Co.",10-CA-284202,Drakesboro,KY,10/07/2021,"Region 10, Atlanta, Georgia",Open,,,,20,,
"LIUNA, Puerto Rico District Council( Kandor Manufacturing, Inc.)",12-CB-284129,"San Juan",PR,10/07/2021,"Region 12, Tampa, Florida",Open,,,,250,,
"United Rentals (North America), Inc.",19-CA-284205,Tukwila,WA,10/07/2021,"Region 19, Seattle, Washington",Open,,,,17,,
"International Alliance of Theatrical Stage Employees, Local No. 60 (Pensacola Bay Center)",15-CB-284216,Pensacola,FL,10/07/2021,"Region 15, New Orleans, Louisiana",Open,,,,50,,
Mphasis,02-CA-284314,Manhattan,NY,10/07/2021,"Region 02, New York, New York",Open,,,,100,,
"Able Engineering Services",27-RD-284195,Denver,CO,10/07/2021,"Region 27, Denver, Colorado",Open,,,,4,,"Include: All engineers working for the Employer at 707 and 717 17th St., Denver, CO 80202. Exclude: All other employees"
"United Rentals (North America), Inc.",19-CA-284206,Tukwila,WA,10/07/2021,"Region 19, Seattle, Washington",Open,,,,17,,
DirecTV/AT&T,28-CA-284394,"Las Vegas",NV,10/07/2021,"Region 28, Phoenix, Arizona",Open,,,,75,,
"APWU (10 Roads Express)",14-CB-284142,"Kansas City",KS,10/07/2021,"Region 14, Saint Louis, Missouri",Open,,,,50,,
"Pensacola Bay Center",15-CA-284219,Pensacola,FL,10/07/2021,"Region 15, New Orleans, Louisiana",Open,,,,50,,
"APWU AFL-CIO Springfield Local 497 (US Postal Service)",01-CB-284157,Springfield,MA,10/07/2021,"Region 01, Boston, Massachusetts",Open,,,,496000,,
"MultiCare Tacoma General Hospital",19-CA-284196,Tacoma,WA,10/07/2021,"Region 19, Seattle, Washington",Open,,,,982,,
"Dooling Machine Products",16-CA-284225,Freeport,TX,10/07/2021,"Region 16, Fort Worth, Texas",Open,,,,40,,
"Honeywell, Inc.",01-CA-284143,Meriden,CT,10/07/2021,"Region 01, Boston, Massachusetts",Open,,,,50,,
"Power Home Solar, Inc.",07-CA-284188,Chesterfield,MI,10/07/2021,"Region 07, Detroit, Michigan",Open,,,,30,,
"International Automotive Components",25-CA-284161,Greencastle,IN,10/07/2021,"Region 25, Indianapolis, Indiana",Open,,,,210,,
"United Mine Workers of America",05-CA-284293,Triangle,VA,10/06/2021,"Region 05, Baltimore, Maryland",Open,,,,42,,
"Double Image Companies, Inc",14-CA-284075,Wentzville,MO,10/06/2021,"Region 14, Saint Louis, Missouri",Open,,,,10,,
"Whitney Museum of American Art",02-CA-284076,"New York",NY,10/06/2021,"Region 02, New York, New York",Open,,,,150,,
"Baxter Farms & Nurseries",14-CA-284057,"Creve Coeur",MO,10/06/2021,"Region 14, Saint Louis, Missouri",Open,,,,35,,
"HNS Management Company d/b/a CT Transit",01-RC-284055,Hartford,CT,10/06/2021,"Region 01, Boston, Massachusetts",Open,,,,14,,"Included
All full-time and regular part-time employees in the Planning & Scheduling Departments employed by
the Employer at its Hartford, CT facility. 
Excluded:
All fare inspectors, all other employees, guards, managers, and supervisors as defined in the Act."
"United States Postal Service",27-CA-284137,Denver,CO,10/06/2021,"Region 27, Denver, Colorado",Open,,,,10,,
QBS,02-CA-284176,"New York",NY,10/06/2021,"Region 02, New York, New York",Open,,,,100,,
"International Lonsghoremen's Association, Local 1402",12-CB-284105,Tampa,FL,10/06/2021,"Region 12, Tampa, Florida",Open,,,,10,,
"Eau Claire Cooperative Health Center",10-CA-284103,Columbia,SC,10/06/2021,"Region 10, Atlanta, Georgia",Open,,,,500,,
"United States Postal Service",10-CA-284041,Kannapolis,NC,10/06/2021,"Region 10, Atlanta, Georgia",Open,,,,30,,
"Roger Baldwin Foundation of ACLU, Inc.",13-RC-284059,Chicago,IL,10/06/2021,"Region 13, Chicago, Illinois",Open,,,,25,,"Included positions:
Administrative Assistant,
Advocacy Administrative Manager, Annual Fund and Engagement Manager, Communications and Marketing Manager, Deputy Communications Director (vacant), Director of Criminal Justice Policy, Director of Institutional Giving, Director of Leadership  Gifts and Engagement Officer, Director of Systems Reform Policy, Finance Associate, Legal Assistant, Legal Fellow, Legal Manager, Office Manager, Philanthropy and Engagement Associate, Philanthropy and engagement Special Assistant (vacant), Policy and Advocacy Strategist, Staff Attorney

Excluded positions: Associate Director, Deputy Legal Director (vacant), Director of Advocacy and Intergovernmental Affairs, Director of Communications and Public Policy, Director of Finance, Director of LGBTQ & HIV Project, Director of Philanthropy and Engagement, Director of the Corrections Reform Project, Director of the Institutional Reform Project, Director of Women's and Reproductive Rights Project, Executive Administrator, Executive Director, Human Resources Manager (vacant), Legal Director, Senior Supervising Attorney

"
"GreenWorks Environmental LLC",22-RC-284119,Wall,NJ,10/06/2021,"Region 22, Newark, New Jersey",Open,,,,3,,"Included: Full time Environmental/Field Technicians and Crew Chief Excluded: All Office Personnel, Managers, Supervisors, Guards as defined in the act, and all other employees."
"Davis Defense Group, LLC",10-CA-284049,"North Charleston",SC,10/06/2021,"Region 10, Atlanta, Georgia",Open,,,,10,,
"Johnson Controls",05-CA-284069,Emigsville,PA,10/06/2021,"Region 05, Baltimore, Maryland",Open,,,,240,,
"Shawnee Milling Company",14-CA-284113,Shawnee,OK,10/06/2021,"Region 14, Saint Louis, Missouri",Open,,,,180,,
"N.Y. Newspaper Printing Pressmen's Union 2N/ISE",02-CB-284136,Bronx,NY,10/06/2021,"Region 02, New York, New York",Open,,,,20,,
"Teamster Local 687 (UPS, Inc.)",03-CB-284035,Watertown,NY,10/06/2021,"Region 03, Buffalo, New York",Open,,,,10,,
"S&P Enterprise L.L.C. dba Aloha Roadway Services",20-CA-284117,Honolulu,HI,10/06/2021,"Region 20, San Francisco, California",Open,,,,20,,
"Columbia Memorial Hospital",19-CA-284114,Astoria,OR,10/06/2021,"Region 19, Seattle, Washington",Open,,,,200,,
"Laborers Local 773 (First Student)",14-CB-284091,"Saint Louis",MO,10/06/2021,"Region 14, Saint Louis, Missouri",Open,,,,160,,
"St. Mary's Medical Center",12-CA-284148,"West Palm Beach",FL,10/06/2021,"Region 12, Tampa, Florida",Open,,,,1000,,
"Aramark d/b/a AmeriPride Service, LLC",03-CA-284073,Syracuse,NY,10/06/2021,"Region 03, Buffalo, New York",Open,,,,5,,
"Sun Chemical Corporation",25-CA-284138,Kankakee,IL,10/06/2021,"Region 25, Indianapolis, Indiana",Open,,,,40,,
"Otis Elevator Company",20-RC-284109,Barrigada,GU,10/06/2021,"Region 20, San Francisco, California",Open,,,,16,,"Included: All full-time and regular part-time employees employed by the Employer on the Island
of Guam and the Northern Mariana Islands engaged in the service, repair,
modernization, construction and installation of elevators, escalators, and other
conveyance equipment.

Excluded: All other employees, salesmen, managers, office clericals, guards and supervisors as defined in the Act."
"KR Contracting",05-CA-284134,Springfield,VA,10/06/2021,"Region 05, Baltimore, Maryland",Open,,,,32,,
"United Food and Commercial Workers, Local 540 (Frito Lay)",16-CB-284169,Dallas,TX,10/06/2021,"Region 16, Fort Worth, Texas",Open,,,,1,,
"Relentless Pursuit Enterprises, Inc., d/b/a Lexus San Diego",21-CA-284175,"San Diego",CA,10/06/2021,"Region 21, Los Angeles, California",Open,,,,23,,
"Bakery, Confectionery, Tobacco Workers and Grain Millers International Union (BCTGM), AFL-CIO, CLC and Local Unions Local 3G, Local 50G, Local 252G and Local 374G  (Kellogg Company)",07-CB-284123,"Battle Creek",MI,10/06/2021,"Region 07, Detroit, Michigan",Open,,,,1400,,
"UPS, Inc",03-CA-284038,Watertown,NY,10/06/2021,"Region 03, Buffalo, New York",Open,,,,60,,
"Monfefo LLC",29-CA-284127,Brooklyn,NY,10/06/2021,"Region 29, Brooklyn, New York",Open,,,,7,,
"United States Postal Service",15-CA-284120,Dothan,AL,10/06/2021,"Region 15, New Orleans, Louisiana",Open,,,,75,,
"SBH Health System",02-CA-284156,Bronx,NY,10/06/2021,"Region 02, New York, New York",Open,,,,1100,,
"Lone Spur Cafe LLC",28-CA-284166,"Queen Creek",AZ,10/06/2021,"Region 28, Phoenix, Arizona",Open,,,,20,,
"Pub, Inc. d/b/a The Pub",04-CA-284118,Pennsauken,NJ,10/06/2021,"Region 04, Philadelphia, Pennsylvania",Open,,,,15,,
"Technica, LLC",28-RC-284104,"Fort Bliss",TX,10/06/2021,"Region 28, Phoenix, Arizona",Open,,,,13,,"Included: All hourly Material Coordinator, Gunsmith 3, QA/QC, Supply Tech., Heavy Equipment Mechanic Lead, Heavy Equipment Inspector Lead, Electronic Tech. 3, and Maintenance Helper employed by the employer Technica, LLC. at building #2941 in Fort Bliss, Tx. Excluded: All supervisors as defined by the Act."
