OID|INV_TYPE|NAME|AMOUNT|RPT_ID
374330|703|Marketable Securities Total Cost|3888008|756042
374331|704|Marketable Securities Total BookValue|3888008|756042
374332|701|GLDMN SCH EQL WGHT US ETF - 8,846 SHARES|458288|756042
374333|701|VANGUARD DIVIDEND APPRECIATION ETF - 1,518 SHARES|204049|756042
374334|701|GUGGENHEIM TOTAL RETURN - 9,504.909 SHARES|258500|756042
374335|701|AMERICAN CENTURY EQUITY - 39,264.742 SHARES|344090|756042
374336|701|AMERICAN FUNDS NEW ECONOMY - 6,029.44 SHARES|238830|756042
374337|701|T. ROWE PRICE BLUE CHIP - 3,254.682 SHARES|520829|756042
374338|701|T. ROWE PRICE CAPITAL AP - 12,413.594 SHARES|321377|756042
374339|705|Other Investments Total Cost||756042
374340|706|Other Investments Total Book Value||756042
376551|703|Marketable Securities Total Cost|2741626|781936
376552|704|Marketable Securities Total BookValue|2741626|781936
376553|701|Morgan Stanley Money Market Fund|456086|781936
376554|701|Capital One CD|150000|781936
376555|701|UBS Bank  USA CD|150000|781936
376556|701|Sallie Mae Bank CD|150000|781936
376557|701|MS Private Bank CD|150000|781936
376558|701|Health Peak Properties, Inc Common Stock|142377|781936
376559|705|Other Investments Total Cost||781936
376560|706|Other Investments Total Book Value||781936
377770|703|Marketable Securities Total Cost|1724634|782485
377771|704|Marketable Securities Total BookValue|1807527|782485
377772|705|Other Investments Total Cost||782485
377773|706|Other Investments Total Book Value||782485
377399|703|Marketable Securities Total Cost|10334311|782276
377400|704|Marketable Securities Total BookValue|10424464|782276
377401|701|VANGUARD SHORT-TERM GOV BOND INDEX|5140417|782276
377402|701|VANGUARD SHORT-TERM INVESTMENT GRADE|5284047|782276
377403|705|Other Investments Total Cost|252218|782276
377404|706|Other Investments Total Book Value|252218|782276
377405|702|UNION BANK AND TRUST COMPANY STOCK|248348|782276
377640|701|PIONEER MULTI-ASSET ULTRA SHORT INCOME FUND |297062|782374
377630|703|Marketable Securities Total Cost|637697|782374
377641|705|Other Investments Total Cost||782374
377642|706|Other Investments Total Book Value||782374
377631|704|Marketable Securities Total BookValue|644097|782374
377632|701|BERSHIRE HATHAWAY, INC., 3.75%, DUE 8/15/23|40172|782374
377633|701|BRISTOL MEYERS SQUIBB CO., 2.0%, DUE 8/1/22|40774|782374
377634|701|CHEVRON CORPORATION, 2.355%, DUE 12/5/22|40956|782374
377635|701|QUALCOM INC., 3.088%, DUE 1/30/23|50532|782374
377636|701|PROCTOR & GAMBLE, 3.1%, 8/15/23|52993|782374
377637|701|AMERICAN EXPRESS CO., 3.4%, DUE 2/27/23|52342|782374
377638|701|APPLE INC., 2.5%, DUE 2/9/25|31844|782374
377639|701|ORACLE, 2.95%, DUE 5/15/25|37422|782374
378439|703|Marketable Securities Total Cost|2255297|782698
378440|704|Marketable Securities Total BookValue|2255297|782698
378441|701|INVESTMENT COMPANY OF AMERICA FUND CLASS A (AIVSX)|1133767|782698
378442|701|NAVIGATOR TACTICAL FIXED INCOME I (NTBIX)|164863|782698
378443|701|ISHARES BARCLAYS 20+ YR TRS BOND ETF (TLT)|133894|782698
378444|705|Other Investments Total Cost|0|782698
378445|706|Other Investments Total Book Value|0|782698
375559|703|Marketable Securities Total Cost|535804|777704
375560|704|Marketable Securities Total BookValue|546457|777704
375561|701|Fidelity Money Market Fund|177541|777704
375562|701|Fidelity L/T Treasury Bond Index Fund|44224|777704
375563|701|Pimco Income Inst Fund|50549|777704
375564|701|Alger Spectra Fund CL Z|30283|777704
375565|701|Columbia Small Cap Index Fund CL12|37387|777704
375566|701|Parnassus Core Equity Fund|33893|777704
375567|705|Other Investments Total Cost||777704
375568|706|Other Investments Total Book Value||777704
378064|703|Marketable Securities Total Cost|0|782577
378065|704|Marketable Securities Total BookValue||782577
378066|705|Other Investments Total Cost||782577
378067|706|Other Investments Total Book Value||782577
378394|703|Marketable Securities Total Cost|1309243|782674
378395|704|Marketable Securities Total BookValue|1309243|782674
378396|701|IWFCU CF - 5 Year 061|100010|782674
378397|701|IWFCU CF - 5 Year 063|100000|782674
378398|701|IWFCU CF - 5 Year 064|100000|782674
378399|701|UWFCU CF - 5 Year 065|1009233|782674
378400|705|Other Investments Total Cost||782674
378401|706|Other Investments Total Book Value||782674
375528|703|Marketable Securities Total Cost||777691
375529|704|Marketable Securities Total BookValue||777691
375530|705|Other Investments Total Cost||777691
375531|706|Other Investments Total Book Value||777691
375464|703|Marketable Securities Total Cost|0|777619
375465|704|Marketable Securities Total BookValue|0|777619
375466|705|Other Investments Total Cost|0|777619
375467|706|Other Investments Total Book Value|0|777619
376676|703|Marketable Securities Total Cost||782011
376677|704|Marketable Securities Total BookValue||782011
376678|705|Other Investments Total Cost|12500|782011
376679|706|Other Investments Total Book Value|12500|782011
376194|703|Marketable Securities Total Cost|0|780738
376195|704|Marketable Securities Total BookValue|0|780738
376196|701|N/A|0|780738
376197|705|Other Investments Total Cost|0|780738
376198|706|Other Investments Total Book Value|0|780738
376199|702|N/A|0|780738
374710|703|Marketable Securities Total Cost|18956531|766082
374711|704|Marketable Securities Total BookValue|18956531|766082
374712|705|Other Investments Total Cost||766082
374713|706|Other Investments Total Book Value||766082
377531|703|Marketable Securities Total Cost||782313
377532|704|Marketable Securities Total BookValue|0|782313
377533|705|Other Investments Total Cost|176342|782313
377534|706|Other Investments Total Book Value|176342|782313
377535|702|PlanMember Elite Index Individual.|176342|782313
377033|703|Marketable Securities Total Cost|107595|782132
377034|704|Marketable Securities Total BookValue|107595|782132
377035|701|AMAZON.COM, INC.|7705|782132
377036|705|Other Investments Total Cost|0|782132
377037|706|Other Investments Total Book Value|0|782132
377038|702|NONE|0|782132
378308|703|Marketable Securities Total Cost|1491451|782646
378309|704|Marketable Securities Total BookValue|1491451|782646
378310|701|American Century Equity Income Fund|103388|782646
378311|701|FMI Large Cap Fund|92568|782646
378312|701|PIMCO All Asset Instl|109194|782646
378313|701|Principal Global Diversified Income Instl|80518|782646
378314|701|John Hancock Income Cl I|77049|782646
378315|705|Other Investments Total Cost||782646
378316|706|Other Investments Total Book Value||782646
375526|705|Other Investments Total Cost||777670
375524|703|Marketable Securities Total Cost|1500|777670
375527|706|Other Investments Total Book Value||777670
375525|704|Marketable Securities Total BookValue|1500|777670
375862|703|Marketable Securities Total Cost|1503|778140
375863|704|Marketable Securities Total BookValue|1503|778140
375864|705|Other Investments Total Cost||778140
375865|706|Other Investments Total Book Value||778140
376025|704|Marketable Securities Total BookValue||780589
376024|703|Marketable Securities Total Cost||780589
376026|705|Other Investments Total Cost||780589
376027|706|Other Investments Total Book Value||780589
379089|703|Marketable Securities Total Cost|7207120|782981
379090|704|Marketable Securities Total BookValue|7480915|782981
379091|705|Other Investments Total Cost||782981
379092|706|Other Investments Total Book Value||782981
375294|703|Marketable Securities Total Cost||777345
375295|704|Marketable Securities Total BookValue||777345
375296|705|Other Investments Total Cost||777345
375297|706|Other Investments Total Book Value||777345
377731|703|Marketable Securities Total Cost|2310712|782469
377732|704|Marketable Securities Total BookValue|2359076|782469
377733|701|Citigroup Corporate Bonds|211057|782469
377734|701|Boeing Corporate Bonds|131347|782469
377735|705|Other Investments Total Cost||782469
377736|706|Other Investments Total Book Value||782469
377357|703|Marketable Securities Total Cost|19455|782257
377358|704|Marketable Securities Total BookValue|456908|782257
377359|701|BANK OF LABOR - 3150 SHARES|456908|782257
377360|705|Other Investments Total Cost||782257
377361|706|Other Investments Total Book Value||782257
378419|703|Marketable Securities Total Cost|0|782685
378420|704|Marketable Securities Total BookValue|0|782685
378421|705|Other Investments Total Cost|0|782685
378422|706|Other Investments Total Book Value|0|782685
376324|703|Marketable Securities Total Cost|0|780836
376325|704|Marketable Securities Total BookValue||780836
376326|705|Other Investments Total Cost||780836
376327|706|Other Investments Total Book Value||780836
378428|703|Marketable Securities Total Cost|5334600|782692
378429|704|Marketable Securities Total BookValue|5334600|782692
378430|701|JP MORGAN US TREASURY PLUS MONEY MARKET PREMIER CL|1625079|782692
378431|701|MORGAN STANLEY INSTL GROWTH CL I|320244|782692
378432|705|Other Investments Total Cost|13700|782692
378433|706|Other Investments Total Book Value|13700|782692
378434|702|37% INTEREST IN LABOR TEMPLE|13700|782692
376714|702|Security Benefit Advanced Choice|270090|782016
376698|703|Marketable Securities Total Cost|4350553|782016
376715|702|Lincoln National Life Insurance|260075|782016
376716|702|Standard Insurance Company|261203|782016
376717|702|Smymetra 5yr Fixed|260134|782016
376718|702|Global Atlantic|256861|782016
376699|704|Marketable Securities Total BookValue|4473778|782016
376700|701|JPMorgan Core Bond CI R6|466208|782016
376701|701|MFS Core Equity CI R6|264008|782016
376702|701|PGIM Total Return Bond CI R6|489854|782016
376703|701|Western Asset Core Bond CI Is|489325|782016
376704|701|Western Asset Core Bond Plus CI Is|526562|782016
376705|701|American Bond Fund of American CI F3|441387|782016
376706|701|JPMorgan Large Cap Growth|224737|782016
376707|701|JPMorgan Mid Cap Equity CI R6|261130|782016
376708|701|Hartford Total Return Bond CI F|405654|782016
376709|705|Other Investments Total Cost|2000000|782016
376710|706|Other Investments Total Book Value|2101290|782016
376711|702|Delaware Life Pinnacle MYGA|251870|782016
376712|702|Jackson National Life Company Optimax 1|268685|782016
376713|702|Principle Financial Group Annuity Contract|272372|782016
377479|703|Marketable Securities Total Cost||782294
377480|704|Marketable Securities Total BookValue||782294
377481|705|Other Investments Total Cost||782294
377482|706|Other Investments Total Book Value||782294
376358|703|Marketable Securities Total Cost|3165321|780856
376359|704|Marketable Securities Total BookValue|3165321|780856
376360|701|American Funds|187432|780856
376361|701|Columbia Strategic|295467|780856
376362|701|Fidelity Advisor|261801|780856
376363|701|JP Morgan Exchange ETF|285859|780856
376364|701|JP Morgan US Equity Fund|524989|780856
376365|701|Lord Abbott Short|159577|780856
376366|701|PGIM Total Return|221048|780856
376367|701|Pimco Income Fund CL2|178050|780856
376368|705|Other Investments Total Cost||780856
376369|706|Other Investments Total Book Value||780856
375267|704|Marketable Securities Total BookValue||777261
375266|703|Marketable Securities Total Cost||777261
375268|705|Other Investments Total Cost||777261
375269|706|Other Investments Total Book Value||777261
376417|701|767 shs American Balanced Fund|21547|780871
376414|703|Marketable Securities Total Cost|466127|780871
376418|701|3043 shs AlphaSimplex Managed Futures|29995|780871
376419|705|Other Investments Total Cost||780871
376420|706|Other Investments Total Book Value||780871
376415|704|Marketable Securities Total BookValue|466127|780871
376416|701|175 shs Ulta S& P|20477|780871
375311|703|Marketable Securities Total Cost|4414902|777396
375312|704|Marketable Securities Total BookValue|4694043|777396
375313|705|Other Investments Total Cost||777396
375314|706|Other Investments Total Book Value||777396
379426|704|Marketable Securities Total BookValue|14613793|783111
379427|705|Other Investments Total Cost||783111
379428|706|Other Investments Total Book Value||783111
379425|703|Marketable Securities Total Cost|13261637|783111
377727|703|Marketable Securities Total Cost||782468
377728|704|Marketable Securities Total BookValue||782468
377729|705|Other Investments Total Cost||782468
377730|706|Other Investments Total Book Value|371161|782468
377213|701|Wilmington Broad Market Bond Fund|339589|782207
377207|703|Marketable Securities Total Cost|1062102|782207
377214|705|Other Investments Total Cost||782207
377215|706|Other Investments Total Book Value||782207
377208|704|Marketable Securities Total BookValue|1060143|782207
377209|701|Harbor Large Cap Value|64362|782207
377210|701|Metropolitan West Total Return Bond Fund|133793|782207
377211|701|Wilmington Large Cap Strategy|76415|782207
377212|701|Wilimington International Fund|55693|782207
377578|703|Marketable Securities Total Cost|2714617|782331
377579|704|Marketable Securities Total BookValue|2863849|782331
377580|701|IShares US Treasury Bond ETF|697957|782331
377581|701|SPDR Portfolio Intermediate Term Corp Bond ETF|445391|782331
377582|701|SPDR Portfolio S&P 500 Growth ETF|250243|782331
377583|701|SPDR Tips ETF|253013|782331
377584|701|SPDR Portfolio S&P 400 Mid Cap ETF|173355|782331
377585|701|SPDR SSGA US Large Cap Low Volatility Index ETF|257016|782331
377586|705|Other Investments Total Cost||782331
377587|706|Other Investments Total Book Value||782331
375766|703|Marketable Securities Total Cost|1497001|778008
375767|704|Marketable Securities Total BookValue|1497001|778008
375768|701|AFL-CIO Housing Investment Trust|1455673|778008
375769|705|Other Investments Total Cost|10000|778008
375770|706|Other Investments Total Book Value||778008
379488|703|Marketable Securities Total Cost|0|783163
379489|704|Marketable Securities Total BookValue|0|783163
379490|705|Other Investments Total Cost||783163
379491|706|Other Investments Total Book Value||783163
379660|703|Marketable Securities Total Cost|1349106|785293
379661|704|Marketable Securities Total BookValue|1612683|785293
379662|701|American Growth Fund of America|201968|785293
379663|701|Brandes International Equity|223562|785293
379664|701|Columbia Select Large Cap Value|250658|785293
379665|701|Lord Abbott Short Duration Income|209192|785293
379666|701|Western Asset Smash Series EC|172659|785293
379667|701|Western Asset Smash Series M|118283|785293
379668|705|Other Investments Total Cost||785293
379669|706|Other Investments Total Book Value||785293
377301|703|Marketable Securities Total Cost|99011|782247
377302|704|Marketable Securities Total BookValue|99011|782247
377303|701|Xcel Stock|99011|782247
377304|705|Other Investments Total Cost||782247
377305|706|Other Investments Total Book Value||782247
377929|703|Marketable Securities Total Cost||782536
377930|704|Marketable Securities Total BookValue||782536
377931|705|Other Investments Total Cost|128924|782536
377932|706|Other Investments Total Book Value|131867|782536
377933|702|AFL-CIO HOUSING INVESTMENT TRUST|131867|782536
378446|703|Marketable Securities Total Cost|285885|782706
378447|704|Marketable Securities Total BookValue|300086|782706
378448|701|BLACKROCK TACTICAL OPPORTUNITIES|23464|782706
378449|701|BLACKROCK EVENT DRIVEN EQUITY|23401|782706
378450|701|JPMORGAN US EQUITY FUND|23887|782706
378451|701|ISHARES TRUST CORE DIVIDENDS GROWTH|20810|782706
378452|701|VANGUARD INDEX FUNDS S&P 500|21324|782706
378453|701|SPDR SERIES TRUST INTERMEDIATE|23516|782706
378454|701|VANGUARD SCOTTSDALE FUNDS|24041|782706
378455|705|Other Investments Total Cost||782706
378456|706|Other Investments Total Book Value||782706
376067|703|Marketable Securities Total Cost||780654
376068|704|Marketable Securities Total BookValue||780654
376069|705|Other Investments Total Cost||780654
376070|706|Other Investments Total Book Value||780654
377722|703|Marketable Securities Total Cost|205251|782467
377723|704|Marketable Securities Total BookValue|205251|782467
377724|701|Regions Investments|205251|782467
377725|705|Other Investments Total Cost||782467
377726|706|Other Investments Total Book Value||782467
378558|703|Marketable Securities Total Cost|906421|782783
378560|705|Other Investments Total Cost||782783
378559|704|Marketable Securities Total BookValue|949233|782783
378561|706|Other Investments Total Book Value||782783
376083|703|Marketable Securities Total Cost|8759429|780664
376084|704|Marketable Securities Total BookValue|8759429|780664
376085|705|Other Investments Total Cost||780664
376086|706|Other Investments Total Book Value||780664
376583|701|PIMCO ENHA LOW DUR ACTIVE ETF|315301|781962
376581|703|Marketable Securities Total Cost|400000|781962
376584|701|MSIF ULTRA-SHORT INCOME A|8002|781962
376585|705|Other Investments Total Cost||781962
376586|706|Other Investments Total Book Value||781962
376582|704|Marketable Securities Total BookValue|399381|781962
374756|703|Marketable Securities Total Cost||766125
374757|704|Marketable Securities Total BookValue||766125
374758|705|Other Investments Total Cost||766125
374759|706|Other Investments Total Book Value||766125
374788|703|Marketable Securities Total Cost||766180
374789|704|Marketable Securities Total BookValue||766180
374790|705|Other Investments Total Cost||766180
374791|706|Other Investments Total Book Value||766180
378300|703|Marketable Securities Total Cost||782638
378301|704|Marketable Securities Total BookValue||782638
378302|705|Other Investments Total Cost||782638
378303|706|Other Investments Total Book Value||782638
375298|703|Marketable Securities Total Cost||777346
375299|704|Marketable Securities Total BookValue||777346
375300|705|Other Investments Total Cost|56386|777346
375301|706|Other Investments Total Book Value|56386|777346
375302|702|Investment in property in Tallahassee, FL|56386|777346
378029|705|Other Investments Total Cost||782563
378027|703|Marketable Securities Total Cost||782563
378030|706|Other Investments Total Book Value||782563
378028|704|Marketable Securities Total BookValue||782563
377842|703|Marketable Securities Total Cost|0|782513
377843|704|Marketable Securities Total BookValue|0|782513
377844|701|N/A|0|782513
377845|705|Other Investments Total Cost|425000|782513
377846|706|Other Investments Total Book Value|425000|782513
377847|702|FIXED ANNUITY- SECURITY BENEFIT|125000|782513
377848|702|FIXED ANNUITY- SECURITY BENEFIT|150000|782513
377849|702|FIXED ANNUITY- SECURITY BENEFIT|150000|782513
377565|705|Other Investments Total Cost|0|782326
377563|703|Marketable Securities Total Cost|0|782326
377566|706|Other Investments Total Book Value|0|782326
377564|704|Marketable Securities Total BookValue|0|782326
378881|703|Marketable Securities Total Cost|359751|782894
378882|704|Marketable Securities Total BookValue|359751|782894
378883|701|IShares Russell 1000 Value ETF (IWD)|30539|782894
378884|701|Blackrock Hi Yield BD PTF INST (BHYIX)|20943|782894
378885|701|PGIM Short-Term Corp Bond (PIFZX)|42419|782894
378886|701|Western Asset Core Plus BD I (WACPX)|144236|782894
378887|705|Other Investments Total Cost||782894
378888|706|Other Investments Total Book Value||782894
375303|703|Marketable Securities Total Cost|468332|777353
375304|704|Marketable Securities Total BookValue|496073|777353
375305|701|VANGUARD HARBOR BOND INSTITUTIONAL FUND|203695|777353
375306|701|VANGUARD SHORT TERM BOND INDEX FUND|251738|777353
375307|701|VANGUARD TOTAL STOCK MARKET INDEX FUND|40640|777353
375308|705|Other Investments Total Cost|0|777353
375309|706|Other Investments Total Book Value|0|777353
375310|702|NONE|0|777353
377620|703|Marketable Securities Total Cost||782372
377621|704|Marketable Securities Total BookValue||782372
377622|705|Other Investments Total Cost||782372
377623|706|Other Investments Total Book Value||782372
378660|703|Marketable Securities Total Cost||782842
378661|704|Marketable Securities Total BookValue||782842
378662|705|Other Investments Total Cost||782842
378663|706|Other Investments Total Book Value||782842
376210|703|Marketable Securities Total Cost|244795|780747
376211|704|Marketable Securities Total BookValue|245611|780747
376212|701|Ishares Core S&P 500 ETF|31384|780747
376213|701|Ishares MBS ETF|55955|780747
376214|701|Ishares Broad USD  Investment Grade Corp Bond ETF|59924|780747
376215|701|Ishares US Treasury Bond ETF|79853|780747
376216|701|Ishares Core MSCI Total International Stock ETF|14880|780747
376217|705|Other Investments Total Cost||780747
376218|706|Other Investments Total Book Value||780747
376517|703|Marketable Securities Total Cost|0|781904
376518|704|Marketable Securities Total BookValue|0|781904
376519|701|N/A|0|781904
376520|705|Other Investments Total Cost|0|781904
376521|706|Other Investments Total Book Value|0|781904
376522|702|N/A|0|781904
378228|703|Marketable Securities Total Cost|344717|782617
378229|704|Marketable Securities Total BookValue|405500|782617
378230|701|Mutual Fund - GFFFX|55791|782617
378231|701|Mutual Fund - JVLIX|61387|782617
378232|701|Mutual Fund - LDLFX|74377|782617
378233|701|Mutual Fund - IYMIX|27820|782617
378234|705|Other Investments Total Cost||782617
378235|706|Other Investments Total Book Value||782617
377406|703|Marketable Securities Total Cost||782278
377407|704|Marketable Securities Total BookValue||782278
377408|701|N/A|0|782278
377409|705|Other Investments Total Cost||782278
377410|706|Other Investments Total Book Value||782278
377411|702|N/A|0|782278
378377|703|Marketable Securities Total Cost||782669
378378|704|Marketable Securities Total BookValue||782669
378379|705|Other Investments Total Cost||782669
378380|706|Other Investments Total Book Value||782669
375438|703|Marketable Securities Total Cost|239853|777593
375439|704|Marketable Securities Total BookValue|239853|777593
375440|701|Deutsche Short Duration|59604|777593
375441|701|Dodge & Cox Income Fd|50154|777593
375442|701|Janus Henderson Mid Cap|11946|777593
375443|701|Vanguard Equity Income Fd|23927|777593
375444|701|Vanguard Explorer Fund Investor Shs|13648|777593
375445|701|Primecap Odyssey Growth|80574|777593
375446|705|Other Investments Total Cost||777593
375447|706|Other Investments Total Book Value||777593
377323|703|Marketable Securities Total Cost|0|782251
377324|704|Marketable Securities Total BookValue|0|782251
377325|705|Other Investments Total Cost||782251
377326|706|Other Investments Total Book Value||782251
379063|703|Marketable Securities Total Cost||782974
379064|704|Marketable Securities Total BookValue||782974
379065|705|Other Investments Total Cost|163538|782974
379066|706|Other Investments Total Book Value|163538|782974
379067|702|INVESTMENT IN PLUMBERS & STEAMFITTERS ASSOCIATION|163538|782974
378605|703|Marketable Securities Total Cost|299771|782814
378606|704|Marketable Securities Total BookValue|299771|782814
378607|701|ISHARES RUSSELL 1000 VALUE ETF|15092|782814
378608|701|SPDR S&P 500 ETF TRUST|132451|782814
378609|701|CATERPILLAR FINANCIAL SERVICES CORP|51763|782814
378610|701|UNITEDHEALTH GROUP INC|51196|782814
378611|701|GOVERNMENT NATIONAL MTG ASSN POOL 638606|15380|782814
378612|705|Other Investments Total Cost|0|782814
378613|706|Other Investments Total Book Value|0|782814
378569|703|Marketable Securities Total Cost|3324152|782787
378570|704|Marketable Securities Total BookValue|3564822|782787
378571|705|Other Investments Total Cost||782787
378572|706|Other Investments Total Book Value||782787
376405|706|Other Investments Total Book Value||780865
376403|704|Marketable Securities Total BookValue||780865
376402|703|Marketable Securities Total Cost||780865
376404|705|Other Investments Total Cost||780865
378704|703|Marketable Securities Total Cost|0|782852
378705|704|Marketable Securities Total BookValue|0|782852
378706|701|NONE|0|782852
378707|705|Other Investments Total Cost|179830|782852
378708|706|Other Investments Total Book Value|179830|782852
378709|702|EQUITABLE FINANCIAL LIFE INDEXED VARIABLE ANNUITY|179830|782852
376680|703|Marketable Securities Total Cost|887616|782012
376681|704|Marketable Securities Total BookValue|887713|782012
376682|701|APPLE INC GLBL NT 2.40% DUE 05/3/23|51874|782012
376683|701|CONOCOPHILLIPS CO SR GLBL NT 3.35% DUE 11/15/24|53990|782012
376684|701|EATON VANCE SHORT DURATION GOVERNMENT INCOME FUND |99260|782012
376685|701|INTL BUSINESS MACHS SR NT 1.875% DUE 08/01/22|50842|782012
376686|701|ISHARES 3-7 YEAR TREASURY BOND ETF|97898|782012
376687|701|ISHARES TRUST ISHARES 5-10 YEAR INVESTMENT GRADE C|60520|782012
376688|701|J P MORGAN EXCHANGE-TRADED FD TR ULTRA-SHORT INCOM|152220|782012
376689|701|JOHN HANCOCK BOND FUND CLASS I #431|171070|782012
376690|701|SMUCKER J M CO SR NT  3.50% DUE 10/15/21|50488|782012
376691|701|VANGUARD SHORT TERM TREASURY INDEX FUND ADM #1942 |99551|782012
376692|705|Other Investments Total Cost||782012
376693|706|Other Investments Total Book Value||782012
378082|703|Marketable Securities Total Cost|3592939|782582
378083|704|Marketable Securities Total BookValue|4982987|782582
378084|701|VANGUARD DIVIDEND APPRECIATION ETF|614207|782582
378085|701|ISHARES TRUST CORE S&P 500 ETF|703349|782582
378086|701|VANGUARD MID CAP VALUE INDEX FUND ETF|312332|782582
378087|701|ISHARES TRUST CORE S&P SMALL - CAP ETF|372043|782582
378088|701|ISHARES TRUST CORE DIVIDEND GROWTH ETF|560759|782582
378089|701|PROSHARES TRUST S&P 500 DIVIDEND ARISTOCRATS ETF|382459|782582
378090|701|VANGUARD HIGH DIVIDEND YIELD ETF|536422|782582
378091|701|LORD ABBETT SHORT DURATION INCOME A|283686|782582
378092|705|Other Investments Total Cost||782582
378093|706|Other Investments Total Book Value||782582
378743|703|Marketable Securities Total Cost||782860
378744|704|Marketable Securities Total BookValue||782860
378745|705|Other Investments Total Cost||782860
378746|706|Other Investments Total Book Value||782860
377923|703|Marketable Securities Total Cost|200000|782532
377924|704|Marketable Securities Total BookValue|206599|782532
377925|701|Vanguard Index Fund|43312|782532
377926|701|Vanguard Bond Index Fund|163287|782532
377927|705|Other Investments Total Cost||782532
377928|706|Other Investments Total Book Value||782532
379421|703|Marketable Securities Total Cost|0|783109
379422|704|Marketable Securities Total BookValue|0|783109
379423|705|Other Investments Total Cost|0|783109
379424|706|Other Investments Total Book Value|0|783109
376133|703|Marketable Securities Total Cost|1887557|780698
376134|704|Marketable Securities Total BookValue|1887557|780698
376135|705|Other Investments Total Cost|742033|780698
376136|706|Other Investments Total Book Value|742033|780698
376137|702|AFL-CIO HOUSING INVESTMENT TRUST|742033|780698
376028|703|Marketable Securities Total Cost||780594
376029|704|Marketable Securities Total BookValue||780594
376030|705|Other Investments Total Cost||780594
376031|706|Other Investments Total Book Value||780594
376071|703|Marketable Securities Total Cost|0|780660
376072|704|Marketable Securities Total BookValue||780660
376073|705|Other Investments Total Cost||780660
376074|706|Other Investments Total Book Value||780660
378047|703|Marketable Securities Total Cost|191795|782570
378048|704|Marketable Securities Total BookValue|191367|782570
378049|701|Blackrock Equity Dividend Fd|11061|782570
378050|701|Federated Hermes Kaufmann Large Cap Fund|21000|782570
378051|701|Franklin Managed TR Rising Divids Fd|15500|782570
378052|701|IShares Edge MSCI Min Vol |22324|782570
378053|701|Lord Abbett Municipal Income Fd Inc|21000|782570
378054|701|Nuveen Invt FDS Inc Short Term Mun Bd Fd|20977|782570
378055|701|Nuveen Mun Tr Ltd Term Mun Bd  Fd CL|21000|782570
378056|701|T Rowe Price Summit Mun Fds Inc|15500|782570
378057|701|TCW FDS Inc Total Retun Bd Fd|9985|782570
378058|705|Other Investments Total Cost||782570
378059|706|Other Investments Total Book Value||782570
375656|701|VANGUARD SHORT-TERM BOND INDEX FUND (MUTUAL FUND)|2228755|777797
375655|701|VANGUARD TOTAL BOND MRKT INDEX FUND ADMIRAL SHARES|2212033|777797
375657|705|Other Investments Total Cost||777797
375658|706|Other Investments Total Book Value||777797
375651|703|Marketable Securities Total Cost|8888263|777797
375652|704|Marketable Securities Total BookValue|8928892|777797
375653|701|BAIRD AGGREGATE BOND FUND (MUTUAL FUND)|2441661|777797
375654|701|BAIRD CORE PLUS BOND FUND (MUTUAL FUND)|2046443|777797
375596|703|Marketable Securities Total Cost|0|777749
375597|704|Marketable Securities Total BookValue|0|777749
375598|701|N/A|0|777749
375599|705|Other Investments Total Cost|322956|777749
375600|706|Other Investments Total Book Value|322956|777749
375601|702|AFL-CIO HOUSING INVESTMENT TRUST|322956|777749
376513|703|Marketable Securities Total Cost|0|781900
376514|704|Marketable Securities Total BookValue|0|781900
376515|705|Other Investments Total Cost||781900
376516|706|Other Investments Total Book Value||781900
377473|703|Marketable Securities Total Cost||782291
377474|704|Marketable Securities Total BookValue||782291
377475|705|Other Investments Total Cost|6025029|782291
377476|706|Other Investments Total Book Value|6025029|782291
377477|702|ICS and CDARS - UBB|5679415|782291
377478|702|ICS and DCARS - UBB - Building|345614|782291
378788|703|Marketable Securities Total Cost||782869
378789|704|Marketable Securities Total BookValue||782869
378790|705|Other Investments Total Cost||782869
378791|706|Other Investments Total Book Value|1951655|782869
378792|702|CD at Regions Bank|100000|782869
377701|703|Marketable Securities Total Cost|0|782454
377702|704|Marketable Securities Total BookValue|0|782454
377703|705|Other Investments Total Cost|0|782454
377704|706|Other Investments Total Book Value|0|782454
376871|703|Marketable Securities Total Cost|716175|782062
376872|704|Marketable Securities Total BookValue|716175|782062
376873|701|IShares IBOXX $ Invt Grade Corp Bond ETF|148045|782062
376874|701|IShares 5-10 Year Invt Grade Corp Bond EFT|47328|782062
376875|701|IShares Broad USD High Yield Bond ETF|44553|782062
376876|701|Vanguard Inter Term Treas ETF|125849|782062
376877|701|Vanguqrd Short-Term Treas EFT|155546|782062
376878|705|Other Investments Total Cost||782062
376879|706|Other Investments Total Book Value||782062
378897|703|Marketable Securities Total Cost||782897
378898|704|Marketable Securities Total BookValue||782897
378899|705|Other Investments Total Cost||782897
378900|706|Other Investments Total Book Value||782897
376627|703|Marketable Securities Total Cost|124864|781983
376628|704|Marketable Securities Total BookValue|124864|781983
376629|701|AFL-CIO HOUSING INVESTMENT TRUST|124764|781983
376630|705|Other Investments Total Cost||781983
376631|706|Other Investments Total Book Value||781983
376632|703|Marketable Securities Total Cost|0|781986
376633|704|Marketable Securities Total BookValue||781986
376634|705|Other Investments Total Cost|0|781986
376635|706|Other Investments Total Book Value||781986
379114|701|ISHARES IBONDS DEC 2023|610155|782995
379108|704|Marketable Securities Total BookValue|11186932|782995
379109|701|ISHARES CORE MSCI EAFE|1062562|782995
