OID|RECEIPT_TYPE|PURPOSE|DATE|AMOUNT|PAYER_PAYEE_ID|RPT_ID
762907|1201|PRODUCER SECURITY DEPOSIT|2021-03-31|10780|2815382|773773
762908|1201|PRODUCER SECURITY DEPOSIT|2021-02-28|10000|2815383|773773
762909|1201|PRODUCER SECURITY DEPOSIT|2021-02-28|224781|2815384|773773
762910|1201|PRODUCER SECURITY DEPOSIT|2021-02-28|200948|2815384|773773
762911|1201|PRODUCER SECURITY DEPOSIT|2021-04-30|48000|2815385|773773
762912|1201|PRODUCER SECURITY DEPOSIT|2021-02-28|33116|2815386|773773
762913|1201|PRODUCER SECURITY DEPOSIT|2021-03-31|23500|2815386|773773
762914|1201|PRODUCER SECURITY DEPOSIT|2021-03-31|6744|2815387|773773
762915|1201|PRODUCER SECURITY DEPOSIT|2021-02-28|170563|2815388|773773
762916|1201|PRODUCER SECURITY DEPOSIT|2021-03-31|40659|2815389|773773
762917|1201|PRODUCER SECURITY DEPOSIT|2021-03-31|54947|2815390|773773
762918|1201|PRODUCER SECURITY DEPOSIT|2021-03-31|50697|2815390|773773
762919|1201|PRODUCER SECURITY DEPOSIT|2021-03-31|115889|2815391|773773
762920|1201|PRODUCER SECURITY DEPOSIT|2021-03-31|12236|2815393|773773
762921|1201|PRODUCER SECURITY DEPOSIT|2021-04-30|6526|2815394|773773
762922|1201|PRODUCER SECURITY DEPOSIT|2021-03-31|55349|2815395|773773
762923|1201|PRODUCER SECURITY DEPOSIT|2021-03-31|44312|2815395|773773
762924|1201|PRODUCER SECURITY DEPOSIT|2021-03-31|175606|2815396|773773
762925|1201|PRODUCER SECURITY DEPOSIT|2021-03-31|137907|2815396|773773
762926|1201|PRODUCER SECURITY DEPOSIT|2021-03-31|5800|2815397|773773
762927|1201|PRODUCER SECURITY DEPOSIT|2021-03-31|216079|2815398|773773
762928|1201|PRODUCER SECURITY DEPOSIT|2021-02-28|10813|2815399|773773
762929|1201|PRODUCER SECURITY DEPOSIT|2021-03-31|372025|2815400|773773
762930|1201|PRODUCER SECURITY DEPOSIT|2021-03-31|45797|2815401|773773
762931|1201|PRODUCER SECURITY DEPOSIT|2021-04-30|16932|2815402|773773
762932|1201|PRODUCER SECURITY DEPOSIT|2021-04-30|93007|2815403|773773
762933|1201|PRODUCER SECURITY DEPOSIT|2021-03-31|23781|2815404|773773
762934|1201|PRODUCER SECURITY DEPOSIT|2021-04-30|6620|2815405|773773
762935|1201|PRODUCER SECURITY DEPOSIT|2021-03-31|198049|2815406|773773
762936|1201|PRODUCER SECURITY DEPOSIT|2021-04-30|14996|2815407|773773
762937|1201|PRODUCER SECURITY DEPOSIT|2021-03-31|41554|2815408|773773
762938|1201|PRODUCER SECURITY DEPOSIT|2021-04-30|6307|2815409|773773
762939|1201|PRODUCER SECURITY DEPOSIT|2021-04-30|329000|2815410|773773
762940|1201|PRODUCER SECURITY DEPOSIT|2021-03-31|8247|2815411|773773
762941|1201|PRODUCER SECURITY DEPOSIT|2021-03-31|7125|2815412|773773
762942|1201|PRODUCER SECURITY DEPOSIT|2021-04-30|6100|2815413|773773
762943|1201|PRODUCER SECURITY DEPOSIT|2021-04-30|131990|2815414|773773
762944|1201|PRODUCER SECURITY DEPOSIT|2021-04-30|58890|2815414|773773
762945|1201|PRODUCER SECURITY DEPOSIT|2021-04-30|5156|2815415|773773
762946|1201|PRODUCER SECURITY DEPOSIT|2021-04-30|36011|2815416|773773
762947|1201|PRODUCER SECURITY DEPOSIT|2021-04-30|11204|2815416|773773
762948|1201|PRODUCER SECURITY DEPOSIT|2021-04-30|198994|2815417|773773
762949|1201|PRODUCER SECURITY DEPOSIT|2021-04-30|156567|2815417|773773
762950|1201|PRODUCER SECURITY DEPOSIT|2021-04-30|32820|2815417|773773
762951|1201|PRODUCER SECURITY DEPOSIT|2021-04-30|13500|2815418|773773
762952|1201|PRODUCER SECURITY DEPOSIT|2021-03-31|175630|2815419|773773
762953|1201|PRODUCER SECURITY DEPOSIT|2021-04-30|91604|2815420|773773
762954|1201|PRODUCER SECURITY DEPOSIT|2021-04-30|574112|2815421|773773
762955|1201|PRODUCER SECURITY DEPOSIT|2021-04-30|9326|2815422|773773
762956|1201|PRODUCER SECURITY DEPOSIT|2021-04-30|40000|2815423|773773
762957|1201|PRODUCER SECURITY DEPOSIT|2021-04-30|26197|2815423|773773
762958|1201|PRODUCER SECURITY DEPOSIT|2021-04-30|6846|2815423|773773
762959|1201|PRODUCER SECURITY DEPOSIT|2021-04-30|124742|2815424|773773
762960|1201|PRODUCER SECURITY DEPOSIT|2021-04-30|77120|2815424|773773
762961|1201|PRODUCER SECURITY DEPOSIT|2021-04-30|30061|2815425|773773
762962|1201|PRODUCER SECURITY DEPOSIT|2021-04-30|9870|2815426|773773
762963|1201|PRODUCER SECURITY DEPOSIT|2021-04-30|17693|2815427|773773
762964|1201|PRODUCER SECURITY DEPOSIT|2021-04-30|23256|2815428|773773
762965|1201|PRODUCER SECURITY DEPOSIT|2021-04-30|6500|2815429|773773
762966|1201|PRODUCER SECURITY DEPOSIT|2021-04-30|13836|2815430|773773
762967|1201|PRODUCER SECURITY DEPOSIT|2021-04-30|19771|2815431|773773
762968|1201|PRODUCER SECURITY DEPOSIT|2021-04-30|12109|2815431|773773
762969|1201|PRODUCER SECURITY DEPOSIT|2021-04-30|17424|2815432|773773
762970|1201|PRODUCER SECURITY DEPOSIT|2021-04-30|15172|2815433|773773
762971|1201|PRODUCER SECURITY DEPOSIT|2021-04-30|8593|2815434|773773
762972|1201|PRODUCER SECURITY DEPOSIT|2021-04-30|18075|2815435|773773
762973|1201|PRODUCER SECURITY DEPOSIT|2021-04-30|11529|2815436|773773
762974|1201|PRODUCER SECURITY DEPOSIT|2021-04-30|6554|2815437|773773
762975|1201|TENANT ALLOWANCE|2020-07-28|2320000|2815438|773773
762976|1201|PRODUCER SECURITY DEPOSIT|2020-06-30|7315|2815439|773773
762977|1201|PRODUCER SECURITY DEPOSIT|2021-02-28|76835|2815440|773773
762978|1201|REIMBURSEMENT|2020-09-30|67049|2815441|773773
762979|1201|SAG AWARDS|2020-11-30|17850|2815442|773773
762980|1201|SAG AWARDS|2021-04-14|6000|2815442|773773
762981|1201|SAG AWARDS|2021-04-30|6000|2815443|773773
762982|1201|SAG AWARDS|2020-12-31|7500|2815443|773773
763208|1201|SAG AWARDS|2021-04-14|53000|2815566|773773
762984|1201|SAG AWARDS|2020-12-31|7600|2815443|773773
762985|1201|SAG AWARDS|2020-12-31|7950|2815443|773773
762986|1201|REFUND|2021-03-31|8851|2815444|773773
762987|1201|SAG AWARDS|2021-03-03|25000|2815445|773773
762988|1201|PRODUCER SECURITY DEPOSIT|2020-09-30|47500|2815446|773773
762989|1201|REIMBURSEMENT|2020-12-16|6924|2815447|773773
762990|1201|REIMBURSEMENT|2021-02-28|9968|2815447|773773
762991|1201|REIMBURSEMENT|2020-08-17|14645|2815447|773773
762992|1201|REIMBURSEMENT|2020-09-08|42099|2815447|773773
762993|1201|REIMBURSEMENT|2021-02-08|138140|2815447|773773
762994|1201|SAG AWARDS|2021-04-14|50000|2815448|773773
762995|1201|SAG-AFTRA MAGAZINE|2021-04-30|10000|2815449|773773
762996|1201|SAG-AFTRA MAGAZINE|2020-08-31|15000|2815449|773773
762997|1201|SAG-AFTRA MAGAZINE|2020-10-31|38400|2815449|773773
762998|1201|SAG AWARDS|2021-04-14|12500|2815452|773773
762999|1201|SAG AWARDS|2021-02-28|5000|2815453|773773
763000|1201|SAG AWARDS|2021-02-11|5900|2815454|773773
763001|1201|SAG-AFTRA MAGAZINE|2021-04-30|10000|2815455|773773
763002|1201|SAG-AFTRA MAGAZINE|2020-12-11|23400|2815455|773773
763003|1201|SAG AWARDS|2021-03-18|5600|2815456|773773
763004|1201|SAG AWARDS|2021-04-14|14000|2815456|773773
763005|1201|SAG AWARDS|2021-01-19|18600|2815456|773773
763006|1201|SAG AWARDS|2021-02-28|20000|2815456|773773
763007|1201|SAG AWARDS|2021-04-14|20800|2815456|773773
763008|1201|SAG AWARDS|2020-12-23|28150|2815456|773773
763009|1201|SAG AWARDS|2020-12-23|28200|2815456|773773
763010|1201|SAG AWARDS|2020-09-08|5000|2815457|773773
763011|1201|SAG AWARDS|2021-02-28|5600|2815458|773773
763012|1201|SAG AWARDS|2021-04-30|8000|2815458|773773
763013|1201|SAG AWARDS|2021-02-28|17400|2815458|773773
763014|1201|SAG AWARDS|2021-01-11|30750|2815458|773773
763015|1201|SAG AWARDS|2021-03-03|36000|2815458|773773
763016|1201|SAG-AFTRA MAGAZINE|2020-10-19|20000|2815459|773773
763017|1201|SAG AWARDS|2020-11-30|12900|2815461|773773
763018|1201|SAG-AFTRA MAGAZINE|2020-12-31|9000|2815462|773773
763019|1201|SAG AWARDS|2021-04-30|6200|2815463|773773
763020|1201|SAG AWARDS|2021-04-30|8000|2815463|773773
763021|1201|SAG AWARDS|2021-01-11|5000|2815464|773773
763022|1201|SAG AWARDS|2021-04-02|8400|2815464|773773
763023|1201|SAG AWARDS|2020-12-21|9000|2815464|773773
763024|1201|SAG AWARDS|2021-01-29|10000|2815464|773773
763025|1201|SAG AWARDS|2020-07-20|11600|2815464|773773
763026|1201|SAG AWARDS|2020-06-22|15000|2815464|773773
763027|1201|SAG AWARDS|2021-01-19|22500|2815464|773773
763028|1201|SAG AWARDS|2021-04-14|24200|2815464|773773
763029|1201|SAG AWARDS|2021-04-05|30000|2815464|773773
763030|1201|SAG AWARDS|2020-06-30|5250|2815465|773773
763031|1201|SAG AWARDS|2021-03-03|11700|2815465|773773
763032|1201|SAG AWARDS|2020-06-30|15000|2815465|773773
763033|1201|SAG AWARDS|2020-11-24|18150|2815465|773773
763034|1201|SAG AWARDS|2020-06-30|19500|2815465|773773
763035|1201|SAG AWARDS|2020-12-18|7350|2815466|773773
763036|1201|SAG-AFTRA MAGAZINE|2021-03-31|14400|2815467|773773
763037|1201|SAG-AFTRA MAGAZINE|2021-04-30|16000|2815467|773773
763038|1201|SAG-AFTRA MAGAZINE|2020-10-31|43000|2815467|773773
763039|1201|SAG-AFTRA MAGAZINE|2021-03-31|48000|2815467|773773
763040|1201|SAG-AFTRA MAGAZINE|2021-03-31|72000|2815467|773773
763041|1201|PRODUCER SECURITY DEPOSIT|2020-08-31|149768|2815468|773773
763042|1201|REIMBURSEMENT|2020-07-31|29667|2815469|773773
763043|1201|REIMBURSEMENT|2020-10-31|5835|2815470|773773
763044|1201|REIMBURSEMENT|2021-04-30|6556|2815470|773773
763045|1201|REIMBURSEMENT|2021-02-28|8674|2815470|773773
763046|1201|REIMBURSEMENT|2020-06-09|8795|2815470|773773
763047|1201|REIMBURSEMENT|2020-07-31|8857|2815470|773773
763048|1201|REIMBURSEMENT|2021-03-09|11833|2815470|773773
763049|1201|REIMBURSEMENT|2020-08-17|12836|2815470|773773
763050|1201|SAG AWARDS|2021-04-14|15200|2815471|773773
763051|1201|SAG AWARDS|2021-01-25|15900|2815471|773773
763052|1201|SAG AWARDS|2021-02-28|6400|2815472|773773
763053|1201|SAG AWARDS|2021-04-05|8000|2815472|773773
763054|1201|SAG AWARDS|2020-06-29|5000|2815473|773773
763055|1201|REIMBURSEMENT|2020-06-04|5119|2815474|773773
763056|1201|REIMBURSEMENT|2021-01-20|5431|2815474|773773
763057|1201|REIMBURSEMENT|2021-01-04|7325|2815474|773773
763058|1201|REIMBURSEMENT|2020-07-07|7420|2815474|773773
763059|1201|REIMBURSEMENT|2020-05-20|9283|2815474|773773
763060|1201|REIMBURSEMENT|2021-03-01|9774|2815474|773773
763061|1201|REIMBURSEMENT|2020-08-14|18730|2815474|773773
763062|1201|PRODUCER SECURITY DEPOSIT|2020-10-31|100125|2815475|773773
763063|1201|PRODUCER SECURITY DEPOSIT|2020-09-30|68744|2815475|773773
763064|1201|PRODUCER SECURITY DEPOSIT|2020-12-31|35210|2815475|773773
763065|1201|SAG AWARDS|2020-11-30|5550|2815476|773773
763066|1201|SAG AWARDS|2020-12-31|7600|2815476|773773
763067|1201|SAG AWARDS|2021-03-18|10000|2815477|773773
763068|1201|SAG AWARDS|2021-03-03|20000|2815477|773773
763069|1201|SAG AWARDS|2020-11-30|9000|2815480|773773
763070|1201|SAG AWARDS|2021-02-28|11025|2815480|773773
763071|1201|SAG AWARDS|2021-04-30|73600|2815480|773773
763072|1201|SAG AWARDS|2021-04-14|8850|2815481|773773
763073|1201|PRODUCER SECURITY DEPOSIT|2020-10-31|28917|2815482|773773
763074|1201|PRODUCER SECURITY DEPOSIT|2020-10-31|26534|2815482|773773
763075|1201|SAG AWARDS|2020-06-30|72106|2815483|773773
763076|1201|SAG AWARDS|2020-10-13|121784|2815483|773773
763077|1201|PRODUCER SECURITY DEPOSIT|2021-02-28|93580|2815484|773773
763078|1201|PRODUCER SECURITY DEPOSIT|2021-01-31|91363|2815485|773773
763079|1201|PRODUCER SECURITY DEPOSIT|2020-09-30|255320|2815486|773773
763080|1201|PRODUCER SECURITY DEPOSIT|2020-09-30|60230|2815487|773773
763081|1201|PRODUCER SECURITY DEPOSIT|2020-09-30|56371|2815487|773773
763082|1201|PRODUCER SECURITY DEPOSIT|2021-03-31|11052|2815488|773773
763083|1201|PRODUCER SECURITY DEPOSIT|2020-05-31|8198|2815489|773773
763084|1201|PRODUCER SECURITY DEPOSIT|2021-03-31|188740|2815490|773773
763085|1201|PRODUCER SECURITY DEPOSIT|2020-10-31|12021|2815491|773773
763086|1201|PRODUCER SECURITY DEPOSIT|2020-12-31|21700|2815493|773773
763087|1201|PRODUCER SECURITY DEPOSIT|2020-08-31|43000|2815494|773773
763088|1201|PRODUCER SECURITY DEPOSIT|2021-03-31|18507|2815495|773773
763089|1201|PRODUCER SECURITY DEPOSIT|2020-10-31|49720|2815496|773773
763090|1201|PRODUCER SECURITY DEPOSIT|2020-11-30|32560|2815496|773773
763091|1201|PRODUCER SECURITY DEPOSIT|2021-04-30|169111|2815497|773773
763092|1201|PRODUCER SECURITY DEPOSIT|2021-03-31|46390|2815497|773773
763093|1201|PRODUCER SECURITY DEPOSIT|2021-04-30|35000|2815497|773773
763094|1201|PRODUCER SECURITY DEPOSIT|2021-02-28|78000|2815498|773773
763095|1201|PRODUCER SECURITY DEPOSIT|2021-02-28|72586|2815498|773773
763096|1201|PRODUCER SECURITY DEPOSIT|2021-04-30|66431|2815499|773773
763097|1201|PRODUCER SECURITY DEPOSIT|2020-10-31|91126|2815500|773773
763098|1201|PRODUCER SECURITY DEPOSIT|2020-10-31|31640|2815500|773773
763099|1201|PRODUCER SECURITY DEPOSIT|2020-07-31|39938|2815501|773773
763100|1201|PRODUCER SECURITY DEPOSIT|2021-03-31|42098|2815502|773773
763101|1201|PRODUCER SECURITY DEPOSIT|2020-11-30|125052|2815503|773773
763102|1201|PRODUCER SECURITY DEPOSIT|2020-11-30|99368|2815503|773773
763103|1201|SAG AWARDS|2020-11-30|6050|2815504|773773
763104|1201|PRODUCER SECURITY DEPOSIT|2020-11-30|20450|2815505|773773
763105|1201|PRODUCER SECURITY DEPOSIT|2020-11-30|8194|2815505|773773
763106|1201|PRODUCER SECURITY DEPOSIT|2020-11-30|11813|2815506|773773
763107|1201|PRODUCER SECURITY DEPOSIT|2021-01-31|28960|2815507|773773
763108|1201|PRODUCER SECURITY DEPOSIT|2020-08-31|15000|2815508|773773
763109|1201|SETTLEMENT|2021-04-30|91193|2815509|773773
763110|1201|PRODUCER SECURITY DEPOSIT|2020-10-31|16991|2815510|773773
763111|1201|PRODUCER SECURITY DEPOSIT|2021-03-31|6380|2815511|773773
763112|1201|PRODUCER SECURITY DEPOSIT|2020-06-30|174490|2815512|773773
763113|1201|PRODUCER SECURITY DEPOSIT|2020-12-31|14504|2815513|773773
763114|1201|PRODUCER SECURITY DEPOSIT|2020-11-30|12041|2815514|773773
763115|1201|PRODUCER SECURITY DEPOSIT|2021-01-31|157456|2815515|773773
763116|1201|PRODUCER SECURITY DEPOSIT|2021-03-31|32000|2815516|773773
763117|1201|PRODUCER SECURITY DEPOSIT|2020-09-30|13000|2815516|773773
763118|1201|PRODUCER SECURITY DEPOSIT|2020-10-31|12975|2815516|773773
763119|1201|PRODUCER SECURITY DEPOSIT|2021-04-30|12000|2815516|773773
763120|1201|PRODUCER SECURITY DEPOSIT|2020-09-30|21451|2815517|773773
763121|1201|PRODUCER SECURITY DEPOSIT|2020-09-30|12968|2815517|773773
763122|1201|PRODUCER SECURITY DEPOSIT|2021-01-31|85215|2815518|773773
763123|1201|PRODUCER SECURITY DEPOSIT|2020-09-30|31200|2815519|773773
763124|1201|PRODUCER SECURITY DEPOSIT|2020-10-31|46400|2815520|773773
763125|1201|PRODUCER SECURITY DEPOSIT|2020-10-31|25066|2815520|773773
763126|1201|PRODUCER SECURITY DEPOSIT|2020-07-31|89588|2815521|773773
763127|1201|PRODUCER SECURITY DEPOSIT|2020-12-31|18560|2815522|773773
763128|1201|REIMBURSEMENT|2020-07-03|10000|2815523|773773
763129|1201|PRODUCER SECURITY DEPOSIT|2020-09-30|19570|2815524|773773
763130|1201|PRODUCER SECURITY DEPOSIT|2021-02-28|70000|2815525|773773
763131|1201|PRODUCER SECURITY DEPOSIT|2021-02-28|81920|2815526|773773
763132|1201|PRODUCER SECURITY DEPOSIT|2021-02-28|119930|2815527|773773
763133|1201|PRODUCER SECURITY DEPOSIT|2021-03-31|23854|2815528|773773
763134|1201|PRODUCER SECURITY DEPOSIT|2021-03-31|18308|2815528|773773
763135|1201|PRODUCER SECURITY DEPOSIT|2020-09-30|485706|2815529|773773
763136|1201|PRODUCER SECURITY DEPOSIT|2020-09-30|344640|2815529|773773
763137|1201|PRODUCER SECURITY DEPOSIT|2020-07-31|29013|2815530|773773
763138|1201|PRODUCER SECURITY DEPOSIT|2020-06-30|25782|2815530|773773
763139|1201|PRODUCER SECURITY DEPOSIT|2020-06-30|7468|2815530|773773
763140|1201|PRODUCER SECURITY DEPOSIT|2020-08-31|7910|2815531|773773
763141|1201|PRODUCER SECURITY DEPOSIT|2020-06-30|147803|2815532|773773
763142|1201|PRODUCER SECURITY DEPOSIT|2020-06-30|101858|2815532|773773
763143|1201|PRODUCER SECURITY DEPOSIT|2021-04-30|126404|2815533|773773
763144|1201|PRODUCER SECURITY DEPOSIT|2021-03-31|249120|2815534|773773
763145|1201|PRODUCER SECURITY DEPOSIT|2020-11-30|24980|2815535|773773
763146|1201|PRODUCER SECURITY DEPOSIT|2021-04-30|46400|2815536|773773
763147|1201|PRODUCER SECURITY DEPOSIT|2020-11-30|47565|2815537|773773
763148|1201|PRODUCER SECURITY DEPOSIT|2021-03-31|8484|2815538|773773
763149|1201|PRODUCER SECURITY DEPOSIT|2021-04-30|6000|2815539|773773
763150|1201|PRODUCER SECURITY DEPOSIT|2020-11-30|49636|2815540|773773
763151|1201|PRODUCER SECURITY DEPOSIT|2020-12-31|58560|2815541|773773
763152|1201|PRODUCER SECURITY DEPOSIT|2021-01-31|37970|2815541|773773
763153|1201|PRODUCER SECURITY DEPOSIT|2021-03-31|5983|2815542|773773
763154|1201|PRODUCER SECURITY DEPOSIT|2020-09-30|17266|2815543|773773
763155|1201|PRODUCER SECURITY DEPOSIT|2021-04-30|92800|2815544|773773
763156|1201|PRODUCER SECURITY DEPOSIT|2021-04-30|58462|2815544|773773
763157|1201|SAG AWARDS|2021-02-11|7650|2815545|773773
763158|1201|PRODUCER SECURITY DEPOSIT|2021-04-30|11225|2815546|773773
763159|1201|PRODUCER SECURITY DEPOSIT|2020-10-31|5552|2815547|773773
763160|1201|PRODUCER SECURITY DEPOSIT|2020-11-30|15425|2815549|773773
763161|1201|PRODUCER SECURITY DEPOSIT|2020-06-30|7980|2815550|773773
763162|1201|PRODUCER SECURITY DEPOSIT|2021-02-28|107981|2815551|773773
763163|1201|PRODUCER SECURITY DEPOSIT|2020-07-31|13090|2815552|773773
763164|1201|SAG AWARDS|2021-03-03|8600|2815553|773773
763165|1201|SAG AWARDS|2020-12-11|9150|2815553|773773
763166|1201|SAG AWARDS|2020-12-17|21450|2815553|773773
763167|1201|PRODUCER SECURITY DEPOSIT|2021-01-31|44550|2815553|773773
763168|1201|PRODUCER SECURITY DEPOSIT|2020-11-30|9200|2815554|773773
763169|1201|PRODUCER SECURITY DEPOSIT|2021-04-30|6758|2815554|773773
763170|1201|PRODUCER SECURITY DEPOSIT|2020-07-31|44034|2815555|773773
763171|1201|PRODUCER SECURITY DEPOSIT|2020-08-31|63522|2815555|773773
763172|1201|PRODUCER SECURITY DEPOSIT|2020-07-31|18753|2815556|773773
763173|1201|PRODUCER SECURITY DEPOSIT|2020-08-31|5265|2815556|773773
763174|1201|PRODUCER SECURITY DEPOSIT|2020-12-31|321163|2815557|773773
763175|1201|PRODUCER SECURITY DEPOSIT|2020-12-31|153120|2815557|773773
763176|1201|PRODUCER SECURITY DEPOSIT|2021-04-30|357447|2815557|773773
763177|1201|PRODUCER SECURITY DEPOSIT|2021-04-30|347953|2815557|773773
763178|1201|PRODUCER SECURITY DEPOSIT|2020-07-31|192326|2815557|773773
763179|1201|PRODUCER SECURITY DEPOSIT|2020-07-31|166900|2815557|773773
763180|1201|PRODUCER SECURITY DEPOSIT|2021-02-28|5567|2815558|773773
763181|1201|PRODUCER SECURITY DEPOSIT|2020-10-31|9780|2815558|773773
763182|1201|PRODUCER SECURITY DEPOSIT|2021-04-30|93240|2815560|773773
763183|1201|PRODUCER SECURITY DEPOSIT|2021-04-30|62168|2815560|773773
763184|1201|PRODUCER SECURITY DEPOSIT|2021-02-28|18051|2815561|773773
763185|1201|PRODUCER SECURITY DEPOSIT|2021-04-30|25901|2815561|773773
763186|1201|PRODUCER SECURITY DEPOSIT|2020-06-30|7461|2815562|773773
763187|1201|PRODUCER SECURITY DEPOSIT|2020-06-30|9375|2815562|773773
763188|1201|PRODUCER SECURITY DEPOSIT|2020-11-30|36000|2815562|773773
763189|1201|PRODUCER SECURITY DEPOSIT|2021-02-28|22248|2815562|773773
763190|1201|PRODUCER SECURITY DEPOSIT|2021-02-28|22248|2815562|773773
763191|1201|PRODUCER SECURITY DEPOSIT|2021-02-28|11124|2815562|773773
763192|1201|PRODUCER SECURITY DEPOSIT|2020-06-30|7461|2815562|773773
763193|1201|PRODUCER SECURITY DEPOSIT|2020-06-30|9375|2815562|773773
763194|1201|PRODUCER SECURITY DEPOSIT|2020-10-31|42765|2815563|773773
763195|1201|PRODUCER SECURITY DEPOSIT|2021-02-28|19034|2815563|773773
763196|1201|SAG AWARDS|2021-01-11|5500|2815564|773773
763197|1201|SAG AWARDS|2020-10-12|10000|2815564|773773
763198|1201|SAG AWARDS|2020-12-11|10400|2815564|773773
763199|1201|PRODUCER SECURITY DEPOSIT|2020-07-31|18263|2815565|773773
763200|1201|PRODUCER SECURITY DEPOSIT|2020-11-30|9468|2815565|773773
763201|1201|SAG AWARDS|2020-11-30|8700|2815566|773773
763202|1201|SAG AWARDS|2020-11-30|49050|2815566|773773
763203|1201|SAG AWARDS|2020-11-30|76100|2815566|773773
763204|1201|SAG AWARDS|2021-03-18|5600|2815566|773773
763205|1201|SAG AWARDS|2020-12-31|25800|2815566|773773
763206|1201|SAG AWARDS|2020-12-31|27350|2815566|773773
763207|1201|SAG AWARDS|2020-06-30|40000|2815566|773773
763418|1201|PRODUCER SECURITY DEPOSIT|2020-09-30|11110|2815764|773773
763209|1201|SAG AWARDS|2020-12-31|54300|2815566|773773
763210|1201|SAG AWARDS|2020-12-31|72000|2815566|773773
763211|1201|SAG AWARDS|2020-12-31|100050|2815566|773773
763212|1201|PRODUCER SECURITY DEPOSIT|2021-01-31|114560|2815566|773773
763213|1201|PRIOR YEAR VOIDED CHECK|2020-05-08|27202|2815586|773773
763214|1201|PRIOR YEAR VOIDED CHECK|2021-04-14|21652|2815587|773773
763215|1201|PRIOR YEAR VOIDED CHECK|2021-04-14|13000|2815588|773773
763216|1201|PRIOR YEAR VOIDED CHECK|2021-04-14|8007|2815589|773773
763217|1201|PRIOR YEAR VOIDED CHECK|2020-05-13|5000|2815590|773773
763218|1201|REFUND|2021-02-28|7642|2815591|773773
763219|1201|PRIOR YEAR CHECK VOIDED|2021-04-14|21652|2815591|773773
763220|1201|PRODUCER SECURITY DEPOSIT|2020-08-31|21898|2815594|773773
763221|1201|PRODUCER SECURITY DEPOSIT|2021-01-31|118038|2815596|773773
763222|1201|PRODUCER SECURITY DEPOSIT|2020-08-31|6756|2815597|773773
763223|1201|PRODUCER SECURITY DEPOSIT|2021-03-31|22398|2815598|773773
763224|1201|PRODUCER SECURITY DEPOSIT|2021-03-31|18862|2815598|773773
763225|1201|PRODUCER SECURITY DEPOSIT|2021-03-31|10300|2815600|773773
763226|1201|PRODUCER SECURITY DEPOSIT|2021-03-31|10815|2815601|773773
763227|1201|PRODUCER SECURITY DEPOSIT|2021-03-31|41826|2815602|773773
763228|1201|PRODUCER SECURITY DEPOSIT|2021-04-23|31012|2815602|773773
763229|1201|PRODUCER SECURITY DEPOSIT|2021-03-31|104727|2815603|773773
763230|1201|PRODUCER SECURITY DEPOSIT|2021-03-31|50753|2815603|773773
763231|1201|PRODUCER SECURITY DEPOSIT|2021-02-28|88700|2815604|773773
763232|1201|PRODUCER SECURITY DEPOSIT|2021-02-28|44561|2815604|773773
763233|1201|PRODUCER SECURITY DEPOSIT|2021-02-28|6378|2815604|773773
763234|1201|PRODUCER SECURITY DEPOSIT|2020-10-31|7400|2815605|773773
763235|1201|PRODUCER SECURITY DEPOSIT|2021-03-31|15285|2815606|773773
763236|1201|PRODUCER SECURITY DEPOSIT|2020-11-30|5375|2815607|773773
763237|1201|PRODUCER SECURITY DEPOSIT|2021-02-28|123760|2815608|773773
763238|1201|PRODUCER SECURITY DEPOSIT|2021-02-28|87550|2815608|773773
763239|1201|PRODUCER SECURITY DEPOSIT|2020-11-30|14816|2815608|773773
763240|1201|PRODUCER SECURITY DEPOSIT|2020-07-31|8146|2815609|773773
763241|1201|PRODUCER SECURITY DEPOSIT|2021-03-31|11576|2815610|773773
763242|1201|PRODUCER SECURITY DEPOSIT|2021-04-30|460474|2815612|773773
763243|1201|PRODUCER SECURITY DEPOSIT|2020-09-30|134874|2815613|773773
763244|1201|PRODUCER SECURITY DEPOSIT|2020-10-31|97520|2815614|773773
763245|1201|PRODUCER SECURITY DEPOSIT|2021-04-30|236331|2815615|773773
763246|1201|PRODUCER SECURITY DEPOSIT|2020-10-31|17636|2815616|773773
763247|1201|PRODUCER SECURITY DEPOSIT|2021-03-31|173813|2815617|773773
763248|1201|PRODUCER SECURITY DEPOSIT|2021-03-31|57195|2815617|773773
763249|1201|PRODUCER SECURITY DEPOSIT|2020-12-31|29835|2815619|773773
763250|1201|PRODUCER SECURITY DEPOSIT|2020-09-30|9950|2815620|773773
763251|1201|PRODUCER SECURITY DEPOSIT|2020-10-31|50273|2815621|773773
763252|1201|PRODUCER SECURITY DEPOSIT|2021-04-30|209961|2815622|773773
763253|1201|PRODUCER SECURITY DEPOSIT|2021-04-30|67126|2815622|773773
763254|1201|TAX REFUND|2020-10-05|10780|2815623|773773
763255|1201|PRODUCER SECURITY DEPOSIT|2020-10-31|13000|2815624|773773
763256|1201|PRODUCER SECURITY DEPOSIT|2020-12-31|9000|2815624|773773
763257|1201|SAG AWARDS|2021-01-31|5100|2815625|773773
763258|1201|SAG AWARDS|2021-01-31|6750|2815625|773773
763259|1201|PRODUCER SECURITY DEPOSIT|2020-10-31|7342|2815627|773773
763260|1201|PRODUCER SECURITY DEPOSIT|2021-03-31|7799|2815628|773773
763261|1201|PRODUCER SECURITY DEPOSIT|2021-03-31|7799|2815628|773773
763262|1201|PRODUCER SECURITY DEPOSIT|2021-01-31|172483|2815629|773773
