OID|DESCRIPTION|BOOK_VALUE|RPT_ID
96229|PAYROLL ASSET|265|782810
96228|SECURITY DEPOSIT|1250|782810
96160|Due from bank|2522|782652
95829|NONE|0|781891
96165|RENT DEPOSIT|1227|782660
95785|Union clothing/ merchandise|20667|780745
95786|Accrued interest|889|780745
95673|Prepaid Insurance|21038|777735
96444|PREPAID INTERNATIONAL DUES|28938|783164
96445|PREPAID OTHER|652|783164
96424|ACCRUED INTERREST - C.D.'S|825|783099
96425|PREPAID EXPENSES|7106|783099
96312|Cash held in agency|71255|782931
95652|RENTAL DEPOSIT|1343|777626
96257|INVENTORY OF PROMOTIONAL ITEMS (ESTIMATED)|9437|782864
96024|Home Association|6788818|782329
96025|Inventory - Hat & Shirt|32102|782329
95720|Union Merchandise Inventory|17517|778109
91629|PREPAID INSURANCE|3512|737748
96046|INVENTORY - PROMOTIONAL ITEMS ON HAND|22215|782463
96146|DUE FROM AFFILIATED ORGANIZATION|101|782621
96147|OTHER RECEIVABLE|1581|782621
96171|DUE FROM LOCAL 1556 SCHOLARSHIP FUND|2910|782672
96172|DUE FROM LOCAL 1456 MEMBERSHIP RELIEF FUND|274946|782672
96005|SECURITY DEPOSIT|2623|782298
96007|INVENTORY - PROMOTIONAL ITEMS|253|782298
96006|OTHER PROMOTIONAL RECEIVABLE|420|782298
95738|ANNUITY CONTRACTS|222912|780575
95520|Prepaid dues|10638|766153
95956|Building Elect. Workers Home Association, Inc. |21611|782166
95958|Furniture & Fixtures Elect. Workers Home Assoc. |6073|782166
95957|Automobile Elect. Workers Home Association, Inc.|19743|782166
95480|Prepaid Postage|117673|766026
95482|Other Prepaid Expenses|6720|766026
95481|Prepaid Payroll Costs|40706|766026
95688|LEASE DEPOSIT|2000|777848
95689|INVENTORY OF PROMOTIONAL ITEMS|17865|777848
96416|PROMOTIONAL MERCHANDISE ON HAND|6210|783081
96417|EMPLOYEE DEFERRED COMPENSATION ACCOUNT|233648|783081
96351|ACTIVE MEMBER DEATH ASSESSMENT|7320|783002
95445|Prepaid General Insurance|615|757284
95448|Prepaid Taxes|3758|757284
95447|Prepaid Rent|2969|757284
95446|Prepaid Health Insurance|1425|757284
95987|PROMOTIONAL ITEMS AND MEMBER RETIREMENT GIFTS-EST|3000|782266
96435|PREPAID DUES TO INTERNATIONAL|14540|783121
96408|Other receivables|444546|783075
96411|Due from affiliated entities|50|783075
96410|Funds held on behalf of others|238117|783075
96409|Prepaid expenses|60934|783075
95792|Inventory of hats  (22 x 7.00)|154|780758
96166|PROMOTIONAL MERCHANDISE ON HAND|16693|782662
95781|Security Deposit|1350|780731
95430|Stationery & supplies|2500|756340
96060|Closing Costs|7864|782489
96155|Utility Deposit|120|782635
96156|Inventory (supplies for resale)|2299|782635
96331|SECURITY DEPOSIT|8000|782970
96074|STAFF RETIREE HEALTH INSURANCE FUND|1276019|782515
96075|MISC ACCRUED DUES RECEIVABLE AT CLOSE OF FY|244033|782515
95724|Prepaid Insurance|4184|779369
95443|N/A|0|756469
96069|UTILITY DEPOSIT|1550|782510
96478|INVENTORY OF PROMO ITEMS|9852|785187
95686|ACCRUED INVESTMENT INCOME|3573|777811
95976|NONE|0|782248
95922|Deposits|1050|782137
96123|RENT SECURITY DEPOSIT|8062|782592
95931|Shirts|9502|782147
96289|Prepaid Expenses |13541|782888
96350|PREPAID EXPENSES|12501|783001
96101|50% of ownership share of UA190-IBEW252, LLC|797676|782560
95627|RENT SECURIITY DEPOIST|800|776615
95884|SECURITY DEPOSIT OFFICE|1198|782048
95462|DUE FROM AFFILIATES|55545|765215
96010|Investment Income Receivable |17925|782303
96012|Investment Market Value Adjustment|2093735|782303
96011|Prepaid Expenses|2985|782303
95630|Prepaid Insurance|4297|777343
95631|Security Deposit|19826|777343
95836|Inventory|8100|781925
96096|Prepaid Expenses|2984|782554
96097|Utility Deposits|250|782554
95485|PREPAID INSURANCE EXPENSE|52833|766048
95494|ALLOWANCE FOR DOUBTFUL ACCOUNTS|-6332640|766048
95493|UNREALIZED VALUATION ALLOWANCE IN INVESTMENTS|2264803|766048
95492|SECURITY DEPOSITS|37820|766048
95491|PREPAID SOFTWARE MAINTENANCE|27000|766048
95490|PREPAID TELEPHONE EXPENSE|4425|766048
95489|PREPAID SUBSCRIPTION EXPENSE|6692|766048
95488|PREPAID RECRUITING EXPENSE|14080|766048
95487|PREPAID PUBLIC RELATIONS EXPENSE|17500|766048
95486|PREPAID MEETING EXPENSE|16000|766048
96067|PREPAID RENT |72000|782501
95793|SECURITY DEPOSITS|1525|780761
95495|Security Deposit|3063|766052
96506|Rental Deposit|2784|785523
96310|Utility deposit|102|782929
95900|Prepaid Expenses|477141|782100
95901|Deposits|35277|782100
96027|Dues Receivable|4116431|782336
96034|Allowance for Furlough Pilot Loan Program|-6000|782336
96033|Security Deposit|4750|782336
96032|Holding Company A/R, Prepaid, Deposits|113626|782336
96031|Advances/Repayments|10426|782336
96030|Interest Receivable|232279|782336
96029|Flight Pay Loss Receivable|390207|782336
96028|Prepaid Insurance|544659|782336
96210|INVENTORY OF PROMOTIONAL ITEMS|14718|782774
96211|SECURITY DEPOSIT|1000|782774
95789|UTILITY DEPOSIT|200|780752
96479|DEPOSIT|3500|785199
96480|OTHER ASSET|6331|785199
96076|Supplies for resale|3272|782517
96371|Security Deposits|7578|783029
96373|Prepaid Payroll Liabilities|70346|783029
96372|Accrued Interest|9461|783029
95969|PROMOTIONAL MERCHANDISE ON HAND|5166|782231
95528|Accrued Investment Income|8683|766189
95530|Investment Market Value Adjustment|769958|766189
95529|Prepaid Expenses|1199|766189
95966|Prepaid expenses|3215|782226
96175|Prepaid Insurance|5200|782680
95449|IBEW BOND                                         |300|757293
95451|A.J.Longo Insurance|642|757293
95450|Hartford Ins|526|757293
96501|SECURITY DEPOSIT|1485|785502
96502|DUE FROM LOCAL 1964 ILA HEALTH AND INSURANCE FUND|144505|785502
96065|Prepaid expense|35786|782497
96066|Security deposits|4953|782497
95580|PREPAID RENT|2550|773479
95582|PREPAID PER CAPITA|65|773479
95583|SECURITY DEPOSIT ON OFFICE LEASE|1000|773479
95581|PREPAID INSURANCE|455|773479
95683|SECURITY DEPOSIT RENT|4073|777793
96116|PREPAID INSURANCE|49351|782591
96122|RENTAL SECURITY DEPOSITS|41632|782591
96121|DUE FROM LOCAL 825 LABOR MANAGEMENT FUND|15009|782591
96120|DUE FROM OPER ENG 825 APPRENTICE TRAIN & EDUC FD|2208|782591
96119|DUE FROM OPERATING ENGINEERS LOCAL 825 WELFARE FD|289918|782591
96118|DUE FROM 65 SPRINGFIELD AVE CONDO ASSOCIATION|60119|782591
96117|PREPAID EXPENSES|14470|782591
95955|Members' Promotional Items Inventory|244224|782163
96494|INVENTORY - SLIDERS AND KNEE PADS|7762|785430
95806|Inventory - T-shirts - Sweatshirts|5317|780845
96206|ACCRUED INTEREST|100961|782766
96208|DEPOSIT|103583|782766
96207|PREPAID EXPENSES|475333|782766
95469|PREPAID PROPERTY TAXES|2487|765243
95470|PREPAID INSURANCE|2739|765243
95624|Deposit|4136|776573
95625|Inventory of shirts, hats, etc. logo merchandise|46132|776573
96499|TRAVEL ADVANCES|600|785499
96500|PAYROLL TAX REFUND - CARES ACT|8079|785499
96114|UTILITY DEPOSIT|599|782586
96095|NONE|0|782551
95982|Deposits|62|782256
96251|PREPAID INSURANCE|6182|782862
96253|PREPAID BOND PREMIUM|373|782862
96252|INTEREST RECEIVABLE|1660|782862
95745|MEMBER FUNDS|42218|780580
95746|INVENTORIES|11551|780580
95885|INVENTORY|9955|782055
95886|DUE FROM AFFILIATES|2628|782055
96019|NONE|0|782319
95889|DUE FROM AFFILIATED FUNDS|2125|782069
95611|Clothing|3208|773863
95801|PREPAID INSURANCE|17216|780839
95804|DEPOSIT ON LAND|50000|780839
95803|OTHER RECEIVABLES|7278|780839
95802|SECURITY DEPOSIT|1000|780839
96055|Due from Health & Welfare- Subsequent eligibility|4820|782474
96054|Prepaid Insurance|546|782472
95290|Dues from Built Rite|20409|754281
96106|RENT SECURITY DEPOSIT|1950|782578
95691|INVENTORY OF PROMOTIONAL ITEMS|186|777905
95727|INVENTORY OF PROMOTIONAL MERCHANDISE|13429|779387
95729|GIFT CARDS|3230|780557
96176|Prepaid Expenses|1368678|782684
96180|Other Receivables|320112|782684
96179|Due from Related Party|57132|782684
96178|PASNAP funding|178843|782684
96177|Deposits|566305|782684
96465|Inventory|4291|783288
96466|Deposits|936|783288
95719|INVENTORY OF PROMOTIONAL ITEMS (ESTIMATED)|4828|778103
96489|Business manager's drawing account.|200|785412
96490|Lease deposit|1444|785412
96209| Accrued Interest on Investments|64328|782767
96017|INVENTORY|27696|782305
95642|Industrial insurance depost|664|777416
95568|PREPAID EXPENSES|254133|773309
95570|CREDIT CARD REIMBURSEMENTS|3216|773309
95569|LESS:  RESERVCE FOR BAD DEBT|-24000|773309
95893|Prepaid Expense|312|782080
95859|INVENTORY OF PROMOTIONAL ITEMS|20744|782010
96222|Shirts|1623|782789
95975|Security Deposit|1000|782245
95855|SECURITY DEPOSIT|1444|781989
95863|Utility Deposits|85|782013
96309|PREPAID PAYROLL TAXES - UNUSED EMPLOYEE RTC|11531|782928
96013|PREPAID EXPENSES|16883|782304
96016|DUE FROM OTHER|9249|782304
96015|DEPOSIT FOR FIXED ASSETS|1907|782304
96014|DUE FROM OTHERS FUNDS|16645|782304
96018|Prepaid Insurance|7602|782310
95970|ACCRUED INTEREST |109314|782239
95972|25 AND 50 YEAR PIN INVENTORY|2775|782239
95971|PREPAID EXPENSES|202875|782239
96352|Due from related organizations and affiliates|1768|783008
96353|Inventory|78855|783008
96233|Prepaid - Vehicle Leases|25098|782824
96236|Prepaid - News Service Reports|2432|782824
96235|Prepaid - Computer Maintenance|12000|782824
96234|Prepaid - Insurance|69335|782824
95857|Prepaid Insurance|6546|781995
95818|Security Deposits|103660|780872
95819|Expense Allowance Advanced|11650|780872
95995|Prepaid Expenses|125652|782280
95996|Escrow Account|182721|782280
96509|Prepaid Expenses|74869|785543
96511|Loan closing costs - net|15100|785543
96510|Deposits|4723|785543
96294|Hall Rental Deposits|1000|782891
96276|PREPAID EXPENSES|9079|782879
96277|ACCRUED INTEREST RECEIVABLE |2910|782879
92428|SECURITY DEPOSIT|5360|744263
95620|SECURITY DEPOSIT|5360|776509
95622|POSTAGE ON HAND|1145|776509
95621|CLOTHING INVENTORY|1798|776509
92430|POSTAGE ON HAND|1000|744263
92429|CLOTHING INVENTORY|1155|744263
95575|PREPAID EXPENSES|7594|773319
96138|Prepaid Expenses|3000|782607
96448|DEPOSITS|1824|783189
96449|PREPAID INSURANCE|8253|783189
95723|Security Deposit|4849|778591
95645|DUE FROM AFFILIATE|13351|777469
95916|INVENTORY OF PROMOTIONAL ITEMS (ESTIMATED)|7929|782126
95906|DUE FROM RELATED ORGANIZATION|10000|782106
95908|PREPAID PAYROLL TAXES|2157|782106
95907|INVENTORY OF PROMOTIONAL ITEMS|6702|782106
96105|SECURITY DEPOSIT|3750|782576
95894|PROMOTIONAL MERCHANDISE ON HAND|71217|782083
96325|Prepaid expenses|16324|782956
96303|Security depsit|100|782911
96304|Restricted cash|66006|782911
96402|Security Deposit|1700|783064
96269|Prepaid Expenses|20325|782870
95444|SECURITY DEPOSIT|1760|756527
96496|DEBT ISSUANCE COSTS|5517|785483
96498|PREPAID EXPENSES|66150|785483
96497|DUE FROM AFFILIATES|3322|785483
96056|SECURITY DEPOSIT|400|782480
96057|ACCRUED INTEREST RECEIVABLE|6027|782480
95396|Prepaid Meeting Expense|508431|755825
95409|Prepaid Computer Software Licenses |349929|755825
95408|Deferred Rent|592363|755825
95407|Leasing Commissions|100592|755825
95406|Deferred Compensation Plan (Grantor Trust)|10743622|755825
95405|Deferred Compensation Plan (457 Plan)|3381285|755825
95404|Organizational Fees|6644|755825
95403|Security Deposits|65368|755825
95402|Deferred Income Taxes|297428|755825
95401|Inventory Merchandise|17648|755825
95400|Mortgage Prepayment Penalty|292091|755825
95399|Other Prepaid Expenses|102679|755825
95398|Prepaid Taxes|1677626|755825
95397|Prepaid Insurance|902467|755825
95647|OTHER PROMOTIONAL RECEIVABLE|1407|777550
95648|INVENTORY OF LIUNA CONVENTION PROMOTIONAL ITEMS |39550|777550
96505|Security Deposit|3415|785521
95933|Rent security deposit|2768|782150
95954|INVENTORY OF PROMOTIONAL ITEMS FOR MEMBERS|2334|782161
96327|DUES RECEIVABLE|89531|782963
95659|Bibles|350|777667
95660|Shirts|733|777667
95607|Prepaid Expenses|1100|773799
95902|Prepaid rent|5081|782105
95905|Credit card receivable|942|782105
95904|Prepaid other|1143|782105
95903|Prepaid insurance|15229|782105
96443|Due from Affiliates|45426|783161
95962|Inventory|382|782218
95636|T shirts and hoodies|12128|777400
95747|DEPOSIT|1694|780587
96115|N/A|0|782589
96341|Prepaid Rent and Deposits|15301|782993
96339|Prepaid Postage|25736|782993
96340|Prepaid Insurance|42904|782993
96345|Other Prepaid Expenses/Deposits|33587|782993
96344|Assets in Progress|90413|782993
96343|Prepaid Software subscriptions|76265|782993
96342|Prepaid Maintenance Agreements|18354|782993
95591|PREPAID INSURANCE|4527|773721
96182|Prepaid Expenses|384239|782688
96140|Due from Annuity|51186|782614
95866|N/A|0|782018
95849|GIFT CARDS HELD|2541|781975
95850|INVENTORY|21098|781975
95959|CLOTHING INVENTORY|13287|782181
95868|Inventory|13723|782022
95716|INVENTORY|4200|778087
95717|PREPAID PAYROLL TAXES|383|778087
95815|PREPAID PAYROLL TAXES|2320|780862
96047|30-YEAR WATCH INVENTORY|718|782465
95616|PREPAID EXPENSE|2027|773960
95827|Security deposit|3643|780896
95991|GIFT CARDS HELD|2470|782274
96043|Deposits Refundable|26101|782427
95988|INVENTORY|4500|782267
95989|ADVANCES|3833|782267
95749|INVENTORY OF PROMOTIONAL ITEMS|26374|780599
96481|n/a|0|785217
95595|RIGHT OF USE LEASE ASSETS|102015780|773773
95605|PREPAID OTHER|106|773773
95604|PREPAID PAYROLL RELATED COSTS|24252|773773
95603|PREPAID PARKING|43230|773773
95602|PREPAID POSTAGE|159314|773773
95601|PREPAID PER CAPITA|238634|773773
95600|DEFERRED RENT RECEIVABLE|331270|773773
95599|SECURITY DEPOSITS|440069|773773
95598|PREPAID INSURANCE|609454|773773
95597|PREPAID IT MAINTENANCE AGREEMENTS|718622|773773
95596|PREPAID RENT|1055395|773773
95869|STADIUM BUILDERS LICENSE|10200|782027
95870|SPORTS TICKETS FOR MEMBERS|12800|782027
96326|INVENTORY OF PROMOTIONAL ITEMS (ESTIMATED)|7774|782958
96288|INVENTORY OF PROMOTIONAL ITEMS |10365|782884
95693|INVENTORY OF PROMOTIONAL ITEMS|1638|777912
95694|GIFT CARDS|900|777912
96381|3 YEAR FIDELITY BOND|400|783033
95915|PROMOTIONAL ITEMS|3000|782123
96102|N/A|0|782561
95512|PREPAID EXPENSES|1460504|766116
95515|PENSION FUNDING|14443532|766116
95514|SECURITY DEPOSITS|30475|766116
95513|INVENTORY|5412|766116
95435|Lease Security Deposit|2030|756358
96452|ACCRUED INTEREST RECEIVABLE|61|783210
96453|PREPAID EXPENSES|3032|783210
96020|SECURITY DEPOSITS|26036|782320
96022|LAND HELD FOR SALE|74157|782320
96021|DUE FROM AFFILIATES|1756|782320
96475|Dues Receivable|70469|784450
96476|Security Deposits|3730|784450
95856|INVENTORY - BIBLES, SWEATSHIRTS|6777|781992
96072|INVENTORY - SHIRTS & HATS|10569|782514
96073|ACCRUED INTEREST|18|782514
96041|EYE CARE SELF PAY RECEIVABLE|2206|782418
96042|INVENTORY - GIFT CARDS FOR MEMBERS|850|782418
96009|Final Water Bill held in Escrow|300|782302
95830|Prepaid salaries|2080|781898
95623|Due From Building Futures |10825|776561
