OID|DESCRIPTION|AMOUNT|RPT_ID
150742|PAYROLL WITHHOLDING TAXES PAYABLE|1601|782638
150667|Credit card liabilities|11602|782563
150668|Payroll liabilities|6964|782563
150609|N/A|0|782513
150521|Payroll Taxes Payable|1516|782326
150523|Vacation Payable|2000|782326
150522|Job Target Payable|174|782326
150962|Payroll Taxes|3848|782894
150963|Credit Card|3227|782894
150317|Due to Officers|50|782089
150318|Payroll Taxes Payable|1699|782089
149889|COLLECTED ON BEHALF OF AFFILIATES|344|777353
149890|PAYROLL WITHHOLDINGS UNREMITTED AT YEAR END|1722|777353
150552|PAYROLL TAX DEDUCTIONS|2137|782372
150866|Payroll Liabilities|838|782842
150120|Payroll Tax Withholdings|3285|780747
150121|Due to Affiliated Funds|2160|780747
150187|PAYROLL TAXES WITHHELD NOT REMITTED AT YEAR END|941|781904
150726|Accrued Payroll Taxes|1840|782617
150482|N/A|0|782278
150451|Security Deposits|1100|782251
150450|Accrued Payroll Taxes|358|782251
150452|Payroll Withholdings Payable|1677|782251
151046|UNREMITTED PAYROLL TAXES|3555|782974
151048|UNREMITTED PER CAPITA TAXES|36035|782974
151047|DUES WITHHELD|3709|782974
150847|IBEW LU313 BENEFIT FUND|28440|782814
150848|IBEW LU313 VACATION FUND|2756|782814
150835|Payroll Liabilities|13114|782787
150157|SECURITY DEPOSIT|18035|780865
150158|PAYROLL DEDUCTIONS PAYABLE|6601|780865
150891|PAYROLL WITHHOLDINGS NOT REMITTED AT YEAR END|2819|782852
150894|AMOUNTS HELD FOR MEMBERS|31992|782852
150893|AMOUNTS HELD FOR OTHERS|134180|782852
150892|DUE TO AFFILIATES|7180|782852
150251|PAYROLL WITHHOLDINGS|909|782012
150683|Payroll Tax Withholdings|14426|782582
149895|Accrued taxes and expense|2949|777404
150638|Payroll Taxes|9068|782532
150639|Due to Members|235089|782532
151165|ADVANCED DEATH & DISABILITY FUND|24632|783109
151167|SUTA PAYABLE|1|783109
151166|FUTA PAYABLE|135|783109
150100|INTL DUES COLLECTED BUT UNREMITTED|20523|780698
150068|Credit Card|1008|780594
150069|Due Member Relief Fund|3073|780594
150363|Payroll and Dues Withholding|1680|782141
150079|Payroll Tax Liabilities|5027|780660
150674|Payroll Liabilities|6034|782570
150675|Due to Affiliates|35543|782570
149974|DUE TO LABORERS' MAROC|59794|777797
149978|DUE TO OTHER AFFILIATED TRADES COUNCILS|2842|777797
149977|PROPERTY TAXES PAYABLE|2014|777797
149976|PAYROLL LIABILITIES|3995|777797
149975|DUE TO WV STATE BUILDING TRADES COUNCIL|28701|777797
149956|NONE|0|777749
150186|PAYROLL WITHHOLDINGS|5707|781900
150500|Payroll withholdings payable|29447|782291
150924|Regions credit card|1033|782869
150965|PAYROLL TAXES PAYABLE|1644|782897
150234|CREDIT CARD PAYABLE|1125|781983
150235|PAYROLL TAX WITHHOLDING AND OTHER|1077|781983
150968|Accrued expenses|23304|782907
150969|Payroll liabilities|3085|782907
150238|Payroll withholdings withheld but not disbursed|1550|781986
149948|PAYROLL LIABILITIES|1887|777732
151061|DEFERRED SOLAR LEASE REVENUE|120312|782995
151062|PAYROLL AND OTHER WITHHOLDINGS|18028|782995
150447|Death benefits payable|9104|782249
150448|Payroll taxes payable|8900|782249
151237|PPP Loan Payable|75648|784415
150207|DUE TO AFFILIATED ORGANIZATIONS|26840|781949
150208|PAYROLL WITHHOLDINGS NOT REMITTED AT YEAR END|2384|781949
150278|Accounts payable International Iron Workers|9631|782039
150279|Due to Vacation Fund|1120|782039
150371|Payroll Taxes Withheld|2625|782149
150372|Credit Card Payable|95|782149
150731|International Dues Payable|35532|782622
150733|Other Payables|6020|782622
150732|Due to Impact|50269|782622
150632|Payroll Taxes Payable|7181|782529
150633|Security Deposits|350|782529
150106|PAYROLL WITHHOLDING PAYABLE|993|780709
150048|MEMBERS LIFE INSURANCE PREMIUMS TO BE REMITTED|37264|780558
150049|DEFERRED COMPENSATION AGREEMENT|20812|780558
149941|NONE|0|777694
149896|PAYROLL WITHHOLDINGS NOT REMITTED AT YEAR END|33597|777409
149898|GROUP INSURANCE PAYABLE|4124|777409
149897|MEMBER CONTRIBUTIONS DUE TO VOLUNTARY PAC FUND|2611|777409
150123|DUE TO AFFILIATES|4543|780756
150125|INTERNATIONAL DEATH BENEFIT PAYABLE|12300|780756
150124|PAYROLL WITHHOLDINGS|16735|780756
150777|Payroll Withholdings Payable|4564|782694
150179|PAYROLL TAXES WITHHELD NOT REMITTED AT YEAR END|1499|781886
151284|Accrued Expenses|153596|785524
151286|Recorded Loan to UFCW and RWDSU Due to Affiliates|161905|785524
151285|Payroll Liabilities|13621|785524
150843|PAYROLL TAXES PAYABLE|4081|782796
150840|DEFERRED RENT|200446|782793
150842|PAYROLL TAX LIABILITY|378|782793
150841|ACCRUED EXPENSES|16334|782793
150737|Member dues paid in advance|20149|782626
150738|Target Job commitments|338700|782626
150397|Accrued Withholding Payable|4768|782156
150791|Payroll withholdings|4651|782725
150792|Credit card liabilities|5121|782725
150513|Employees' Payroll Deductions|1741|782309
149360|Payroll liabilities|9179|754634
149363|Payroll withholding |5006|754634
149362|Vacation & Holiday liability|2643|754634
149361|401k liability|4985|754634
150648|Deferred revenue - dues|227426|782550
150806|Payroll Withholding Payable|44715|782746
150122|PAYROLL WITHHOLDING LIABILITIES|13258|780750
150134|PAYROLL WITHHOLDINGS AND TAXES|5779|780813
150219|Fringe Benefit Payable|12313|781965
150218|Payroll Withholding|13771|781965
150220|Credit Card Payable|964|781965
151170|Due to affiliated entities|457083|783116
150553|Payroll Liabilities|5482|782373
151171|Payroll taxes withheld and not paid|1589|783118
151172|Tenant security deposits|9150|783118
150336|Accrued PR Taxes|6344|782120
150338|Due to International Affiliate|14616|782120
150337|Due to Affiliated Funds|37129|782120
150734|CREDIT CARD PAYABLE|5923|782624
150736|DUE TO AFFILIATED FUNDS|16714|782624
150735|EMPLOYEE BENEFITS PAYABLE|29967|782624
150682|Payroll Withholdings Payable|3935|782580
150959|Death Benefits Fund|2481|782892
150960|Building Fund|31014|782892
150415|Per Capita Taxes Payable|35980|782219
150417|Payroll Taxes Payable|942|782219
150416|Accrued Wages|7032|782219
151049|Payroll Withholding Payable |14419|782975
151050|Death Benefits Payable |12150|782975
151080|PAYROLL EXCHANGE|6160|783016
151083|SECURITY DEPOSIT PAYABLE|3000|783016
151082|SEVERANCE PAYABLE|705200|783016
151081|VACATION PAYABLE|316334|783016
150631|MEMBER LIFE INSURANCE PREMIUMS NOT REMITTED|39686|782527
150630|PAYROLL TAX WITHOLDINGS NOT REMITTED AT Y/E|332|782527
150030|Payroll Withholdings|1333|778113
149663|Deferred Compensation Liability |6582441|766144
149667|Market Recovery Program|1143791|766144
149666|Carpenters International Training Fund Liability|293720|766144
149665|Payroll Withholdings|152002|766144
149664|Accrued Vacation|821000|766144
150155|PAYROLL WITHHOLDINGS PAYABLE|2846|780861
150156|RENT DEPOSIT|2500|780861
150694|Prepaid Rent|1828|782593
150698|Advance from Lessee|23269|782593
150697|Accrued Payroll Liabilities|1785|782593
150696|Prepaid Dues`|35101|782593
150695|Accrued Payroll|2385|782593
149883|PAYROLL WITHHOLDINGS|1091|777223
149829|PAYROLL TAX WITHHOLDINGS|3260|773737
150643|DUES PAYABLE|2591|782539
150646|PAYROLL TAXES PAYABLE|1417|782539
150645|401(K) WITHHOLDING|6642|782539
150644|PAC WITHHOLDING|112|782539
151018|PAYROLL TAXES|1408|782947
151019|DUE TO RELATED PARTY|3815|782947
150346|PAYROLL LIABILITIES|761|782127
150314|PAYROLL WITHHOLDINGS|5212|782086
150316|RENT DEPOSITS|16000|782086
150315|CREDIT CARDS PAYABLE|13421|782086
150684|Dues payable to International Affiliate|19235|782585
150686|Due to Affiliates|48112|782585
150685|Death Benefits Payable|4400|782585
150471|Payroll Liabilities|5394|782265
150472|Accrued Property Taxes|6065|782265
149884|401(k) withholding|2480|777224
149885|COPE|958|777224
151015|Payroll taxes |14012|782940
150497|Payroll Liability|2742|782289
150498|Credit Card Payable|3382|782289
150999|PPP Loan Payable|124842|782924
150750|ACCRUED PAYROLL TAXES|3789|782657
150751|DEATH BENEFIT PAYABLE|2200|782657
150284|PER CAPITA PAYABLE|11354|782045
150285|PREPAID DUES|39799|782045
150075|NASSIVERA SETTLEMENT PAYABLE|18190|780651
150076|DUES WITHHOLDINGS|2193|780651
150850|Due to Affiliates|852|782822
150854|Credit card payable|782|782822
150853|Federal taxes payable|104|782822
150852|FUTA taxes payable|75|782822
150851|State taxes payable|3610|782822
150400|Payroll Withholdings|2102|782162
151259|DUE TO AFFILIATES|2002|785302
151257|PAYROLL WITHHOLDING ACCRUALS|4957|785302
151258|CONTRACT LPL PAYABLE|506|785302
150111|Payroll Withholdings|9559|780712
150113|International Death Benefits Payable|4400|780712
150112|Due to Affiliates|1269|780712
150169|Other Liabilities|6339|780887
150364|ACCRUED REAL ESTATE TAXES|645054|782146
150368|MISCELLANEOUS LIABILITIES|13943|782146
150367|DUE TO IUOE LOCAL 399 HEALTH AND WELFARE FUND|2534|782146
150366|DUE TO IUOE LOCAL 399 DEF COMP SAVINGS PLAN|2803|782146
150365|DEFERRED INCOME|585238|782146
150347|PAYROLL TAX WITHOLDINGS NOT REMITTED AT Y/E|661|782131
150348|MEMBER LIFE INSURANCE PREMIUMS UNREMITTED AT Y/E|12145|782131
150719|Payroll liabilities|7018|782610
150623|SECURITY DEPOSIT|1703|782524
150625|FRINGE BENEFIT PAYABLE|22178|782524
150624|CREDIT CARDS|8342|782524
150084|Payroll Withholdings Payable|8987|780670
151020|Payroll Withholdings|10398|782950
151021|Unremitted receipts collected on the Locals behalf|72651|782950
150485|Payroll Liabilities|1041|782281
149910|SECURITY DEPOSIT|1000|777562
150108|PAYROLL WITHHOLDINGS|1404|780711
150110|ACCRUED VACATION|5650|780711
150109|ACCRUED PROPERTY TAX|7819|780711
150083|MEMBERS LIFE INSURANCE PREMIUMS TO BE REMITTED|39092|780668
150071|PAYROLL TAX WITHOLDINGS|2678|780616
150304|2412 E. 8th Security Deposit|841|782078
150307|Vacation Fund Payable|783|782078
150306|Dry Fork Arbitration and Grievance Reserve|12895|782078
150305|Compensated Absences Liability|3238|782078
150302|WITHDRAWAL LIB. FROM MULTI-EMPLOYER PENSION PLAN|195024|782072
150303|COMPENSABLE ABSENCE|28600|782072
150133|VACATION ACCRUAL|39209|780800
150890|Deferred Compensation Account|264303|782851
151093|PAYROLL WITHHOLDINGS & TAXES PAYABLE|4028|783023
151096|IMPACT CONTRIBUTIONS PAYABLE|66100|783023
151095|DEATH BENEFITS FROM INTERNATIONAL FOR MEMBERS|12750|783023
151094|PER CAPITA TAXES RECEIVED ON BEHALF OF AFFILIATE|171100|783023
150745|LPL  Payable|3115|782650
150748| ||782650
150747| ||782650
150746|Security Deposit|1700|782650
149636|PAYROLL WITHHOLDINGS|2155|766081
151123|CREDIT CARDS PAYABLE|1029|783066
151128|SALES TAX PAYABLE|171|783066
151127|VACATION WITHHOLDING PAYABLE|2671|783066
151126|IPAL PAYABLE|330|783066
151125|DEFERRED COMP PAYABLE|800|783066
151124|PAYROLL TAXES PAYABLE|294|783066
151260|Working Assessment Withholding|1327|785325
151054|Payroll tax payable|4649|782991
151057|Due to Affiliates|2938|782991
151056|Credit Card balance due|1232|782991
151055|Accrued vacation payable|1318|782991
151183|Payroll deductions and withholdings|28538|783152
150177|Payroll Taxes|3862|780898
150178|Credit card liabilities |4448|780898
150793|PAYROLL LIABILITIES|1401|782730
150794|PREPAID DUES/DUES PAID IN ADVANCE|55187|782730
150527|Accrued Payroll|13032|782330
150528|Deferred Income|6960|782330
150339|PAYROLL WITHHOLDINGS NOT REMITTED @ Y/E|5988|782122
150341|DUE TO PAC FUND|48|782122
150340|MORTGAGE ESCROW|4359|782122
149550|Due to Affiliates|8952|756212
150562|Accrued Payroll Taxes|276|782376
150561|Payroll Tax Withholdings|850|782376
150563|Payments to be made on Behalf of Affiliates|1055|782376
151001|Payroll Witholdings|3646|782927
151002|Due to Related Parties|81527|782927
150864|Payroll Tax Liability|2387|782839
150865|Other Liabilities|14473|782839
150844|unremitted payroll taxes|459|782797
150572|Dues Collected in Advance|2688|782417
150573|Member Over-Payments|17523|782417
150453|Capital Lease Payable|5575|782252
150454|Amounts Due to Related Party|3115|782252
149612|Due ILA|2218|766007
149613|Per capita|225|766007
151052|Payroll Taxes Payable|4051|782978
151041|ACCRUED VACATION|110241|782973
151045|PAYROLL WITHHOLDINGS NOT REMITTED @ Y/E|5368|782973
151044|ACCRUED PAYROLL AND RELATED ITEMS|36764|782973
151043|DEFERRED LEASE OBLIGATION|47094|782973
151042|LIABILITY FOR PENSION BENEFITS|266064|782973
149963|Accrued payroll liabilities|1875|777778
149964|Due|2138|777778
151022|Dues & Assessments Withholding|4406|782951
150085|Payroll Liabilities (Withholdings)|4573|780684
150088|Accried Bookkeeping Fee|1600|780684
150087|Accrued Audit Fee|10500|780684
150086|Accrued Wages|3071|780684
150647|VACATION FUND WITHHOLDING AND OTHER|4864|782543
150784|Deferred Revenues|57663|782716
150787|Accrued Payroll Tax |1407|782716
150786|Reimbursable Employee Expense|1193|782716
150785|Accrued Payroll |7380|782716
150918|FSA payable|14399|782867
150922|Deferred Income|459600|782867
150921|Due To Assessment Employer/Contractor|21273|782867
150920|Payroll withholding|94390|782867
150919|Security Deposits|5600|782867
150637|Payroll Withholdings|2129|782531
150669|Payroll withholdings payable|2029|782564
150670|Accrued property taxes|3832|782564
150478|Due to members and Wages non payment payable|220005|782271
150286|PAYROLL WITHHOLDING LIABILITIES|202|782046
150287|COMPENSABLE ABSENCE|32540|782046
150193|PAYROLL WITHHOLDING LIABILITIES|2295|781918
150194|COMPENSABLE ABSENCE|7300|781918
150309|PAYROLL WITHHOLDINGS |7634|782081
150896|PAYROLL TAXES PAYABLE|469|782856
150031|PAYROLL WITHHOLDINGS|224|778138
150501|PAYROLL LIABILITIES - STATE AND COUNTY W/H|2262|782293
150503|PAYROLL LIABILITIES - VACATION W/H|1565|782293
150502|PAYROLL LIABILITIES - DUES W/H|1252|782293
150975|Tenant Deposits|30421|782919
150978|Withholding Payable|87|782919
150977|Per Capita Liabilities |33350|782919
150976|Due Benefit Funds|68|782919
150600|Payroll Liabilities|924|782496
150601|Due to IPAL|5093|782496
150520|PAYROLL LIABILITIES|1643|782325
150460|PAYROLL WITHHOLDING LIABILITIES|549|782254
150458|WITHDRAWAL LIB. FROM MULTI-EMPLOYER PENSION PLAN|330258|782254
150459|COMPENSABLE ABSENCE|6800|782254
150440|DUES ASSESSMENTS PAID IN ADVANCE|372400|782242
151232|Payroll tax liabilities|145|784400
144578|NONE|0|740213
151071|Due to Impact|250255|783011
151074|Payroll Withholdings|37444|783011
151073|Death Benefits Payable|2094|783011
151072|Due to Iron Workers International Union|193689|783011
150273|Target Job Grants|88231|782036
150275|Vacation Time Accrual|44312|782036
150274|Payroll Tax Withholding|42|782036
150011|Payroll withholding|4239|778023
150606|ACCRUED PAYROLL TAXES|1193|782504
149417|PAYROLL TAXES PAYABLE|1838|755186
150280|WITHDRAWAL LIB. FROM MULTI-EMPLOYER PENSION PLAN|227307|782041
150281|COMPENSABLE ABSENCE|8900|782041
150971|Payroll taxes and accrued expenses|17929|782909
150255|Member Prepaid Dues|6214|782017
150499|Payroll Taxes|4642|782290
150227|Payroll Taxes Withheld from Payroll Checks|2636|781977
150265|Dues payable to International Affiliate|32035|782030
150266|Due to affiliated benefit fund|43291|782030
150101|DUE TO NASRCC BUILDING CORP NY|290000|780701
150103|DUE TO GREATER PA CARPENTERS PEC|15300|780701
150102|PAYROLL WITHHOLDING PAYABLE|2084|780701
151212|Payroll Tax Payable|2145|783232
150955|Payroll Witholdings|11533|782889
150165|Accrued payroll taxes|1777|780876
150166|PPP Loan|129020|780876
151208|Payroll Taxes Withheld|8003|783216
151210|Deposits|8223|783216
151209|Meeting Door Prize Payable|17|783216
150788|ACCRUED PAYROLL TAXES AND OTHER ACCRUALS|14178|782718
150390|Capital Stock - Due Members|1280|782153
150395|DEFERRED INCOME|2300|782153
150394|DUE TO RELIEF FUND|10002|782153
150393|DUES RECEIVED IN ADVANCE|215070|782153
150392|DUE TO VOLUNTARY FUND|22101|782153
150391|PAYROLL WITHHOLDING|23522|782153
150064|PAYROLL TAX WITHHOLDINGS|364|780582
150652|Payroll Taxes Withheld|1740|782553
150654|Tenants Security Deposit|1100|782553
150653|Funds For Transmittal To Affiliates|24419|782553
150038|Accrued Payroll Taxes and Withholding|3128|779376
150040|Members Savings|66632|779376
150039|Other fund liabilities|17618|779376
150488|PAYROLL WITHHOLDINGS|903134|782285
150490|CREDIT CARD PAYABLE|30179|782285
150489|DUE TO/FROM PAC|57438|782285
150045|Credit Cards Payable|7171|780544
150046|Payroll Withholdings|2502|780544
149778|PPP FUNDING|90333|773523
149779|PAYROLL TAXES PAYABLE, STATE OF NEW MEXICO|945|773523
151201|PAYROLL TAXES WITHHELD AND PAYABLE|3328|783185
151205|ACCRUED WAGES|3515|783185
151204|MARKET RECOVERY WITHHELD AND PAYABLE|438|783185
151203|ASSESSMENTS WITHHELD AND PAYABLE|1768|783185
151202|DEFERRED SAVINGS WITHHELD AND PAYABLE|2601|783185
150231|Payroll withholdings|500|781980
150233|Credit Card|3968|781980
150232|Member initiations and fines|2853|781980
150199|Payroll Liabilities|314|781924
150618|Payroll taxes and benefits withheld|2366|782518
150829|Vacation and Holiday Pay Withheld|3600|782781
150830|Other Payroll Withholdings|3112|782781
150312|Payroll and Dues Withholding|846|782085
150313|Credit Card Payable|6235|782085
150607|Payroll Taxes Payable|5694|782509
151051|REFUNDABLE SECURITY DEPOSIT|1450|782976
149764|Due from Apprenticeship Fund|1|773421
151298|TENANTS SECURITY DEPOSITS|12906|785573
151301|VOTE CONTRIBUTIONS|603|785573
151300|SEVERANCE PAYABLE|95632|785573
151299|VACATION & SICK TIME PAYABLE|180861|785573
150151|PAYROLL LIABILITIES|15057|780857
150153|OVER/UNDER DUES PAYMENTS|9501|780857
150152|CREDIT CARD BALANCE|2293|780857
150288|Due to Affiliates |15752|782052
150290|Payroll Liabilities|4705|782052
150289|Credit Card Payable|5347|782052
150192|PAYROLL TAXES WITHHELD AND ACCRUED|724|781916
150089|PAYROLL TAXES PAYABLE|208|780685
151181|Payroll Withholding|34821|783137
151182|International Per Capita|165773|783137
150335|Payroll Liabilities|5406|782116
150418|Accrued Withholding Taxes and Deductions|5400|782220
150080|PAYROLL WITHHOLDINGS NOT REMITTED AT YEAR END|1333|780661
150081|MEMBERS LIFE INSURANCE PREMIUMS TO BE REMITTED|19391|780661
149832|Credit Card Payable|2150|773755
149833|Payroll Taxes and Deductions Payable|592|773755
151016|TAXES EXT. EXCLUDING PAYROLL|19072|782941
151017|CONTRACTOR BENEFIT PAYMENTS|14017|782941
150352|Payroll Liabilities|3979|782133
150757|RENTAL DEPOSIT|9000|782668
150758|PAYROLL TAXES|8313|782668
150141|Accrued Payroll Taxes|3177|780837
151164|Payroll Liabilities|4313|783108
150703|PAYROLL TAX WITHHOLDING AND CREDIT CARD PAYABLE|4724|782601
150704|DUE TO INTERNATIONAL HEADQUARTERS - PER CAPITA|72263|782601
150449|Member Over/Under|25920|782250
150332|Payroll withholdings payable|5513|782112
150209|Payroll Taxes and Withholdings Payable|3537|781950
150212|Security deposit|9934|781950
150211|FUTA Payable|2|781950
150210|SUTA Payable|81|781950
151097|Credit Card Payable|1079|783028
151098|Payroll Taxes Payable|3643|783028
150845|FRINGES PAYABLE|3580|782810
150846|PAYROLL LIABILITIES|5703|782810
150749|Payroll Liabilities|1413|782652
150180|NONE|0|781891
149966|PAYROLL WITHHOLDINGS|927|777785
149967|CREDIT CARDS PAYABLE|37|777785
150752|PAYROLL LIABILITIES|27157|782660
150119|Accrued payroll liabilities|1057|780745
150214|payroll taxes|5660|781953
149906|Payroll withholdings payable|1508|777419
149949|Accrued Pension|26307|777735
149952|Field Dues Due to Affiliated Locals|22133|777735
149951|Due to Construction Fund|54826|777735
149950|Payroll Liabilities|4451|777735
151038|RENT AND SECURITY DEPOSITS|3000|782966
151040|PAYROLL LIABILITIES|111|782966
151039|AGENTS SAVINGS ACCOUNTS|53255|782966
151190|ACCRUED TAXES AND LIABILITIES|9833|783164
151193|ACCRUED PER CAPITA|16671|783164
151192|UNEARNED RENT REVENUE|468|783164
151191|MEMBER DUES RECEIVED IN ADVANCE|28938|783164
151163|CONTRACTS PAYABLE - EMPLOYER'S JOB ASSIST. PROGRAM|19335|783099
151162|DUE TO LOCAL #188 APPRENTICESHIP FUND|26120|783099
151007|Payroll liabilities|7764|782931
151008|Cash held in agency|71255|782931
151070|Gas Credit card|491|783009
151307|payroll liabilities|715|785661
149926|PAYROLL LIABILITIES|3075|777626
150258|Payroll withholdings|3292|782025
150259|Credit card liabilities|3091|782025
150461|Payroll Liabilities|7681|782255
150462|Security Deposit|350|782255
149918|PENSION WITHDRAWAL LIABILITY - WESTERM STATES|263494|777603
151305|VACATION FUND WITHHELD|2752|785633
151303|STATE TAX WITHHELD|114|785633
151304|CITY TAX WITHHELD|589|785633
150909|PAYROLL WITHHOLDINGS NOT REMITTED AT YEAR END|109|782864
150910|MEMBERS LIFE INS PREMIUMS NOT REMITTED AT YEAR END|13069|782864
150524|Contributions Payable|24753|782329
150526|Payroll Liabilities|6266|782329
150525|Credit Card Payable|11716|782329
150029|Payroll Liabilities|4235|778109
143930|NONE|0|737748
150323|Accrued Vacation|31000|782102
150324|Payroll Withholdings|12281|782102
150580|NONE|0|782463
150041|Credit cards payable|32|779383
150730|PAYROLL TAXES LIABILITIES|625|782621
150360|Payroll Taxes Payable|4119|782139
150361|PPP Loan|25987|782139
150760|PAYROLL WITHHOLDINGS|10652|782672
150504|NONE|0|782298
150053|PAYROLL LIABILITIES|3372|780575
150054|MEMBER SAVINGS PAYABLE|11622|780575
151211|Payroll taxes withheld|1014|783230
149668|Prepaid dues|3737|766153
150402|PAYROLL TAXES|908|782166
150403|OTHER DEDUCTIONS|600|782166
149616|Accrued Vacation, Sick Compensation, and Severance|1054686|766026
149619|Accrued Expenses|7358|766026
149618|Credit Card Payable|306|766026
149617|Dues Received in Advance|691440|766026
151199|PAYROLL WITHHOLDINGS|4028|783181
151200|DUE TO CARVILLE PARK APARTMENTS|63730|783181
149986|PAYROLL WITHHOLDING TAXES NOT REMITTED AT YEAR END|872|777848
149988|MINORITY INTEREST IN LAND TRUST|111828|777848
149987|DUE TO RELATED ORGANIZATION|2589|777848
151153|EMPLOYEE DEFERRED COMPENSATION ACCOUNT|233648|783081
151154|COMPENSABLE ABSENCE|3500|783081
151066|DEFERRED DUES|735286|783002
149575|Dues Collected in Advance|11893|757284
149581|Salaries Payable|0|757284
149580|Promo Pension Payable|0|757284
149579|CSO Broadcast Rights Retirees|35768|757284
149578|CMA Benefit Club|900|757284
149577|SUTA, FUTA & Workers Compensation Insurance|389|757284
149576|Payroll Taxes W/H|3634|757284
150473|NONE|0|782266
151175|ACCRUED EMPLOYEE BENEFITS |7313|783121
151177|DEFERRED REVENUE|16978|783121
151176|DUE TO RELATED PARTY|19850|783121
151146|Accrued Payroll and Payroll taxes|106625|783075
151149|Refundable deposits|34869|783075
151148|Due to affiliated entities|2112405|783075
151147|Accrued Vacation and Sick Pay|277160|783075
150867|Estimated Liability for Compensated Absences|21999|782843
150868|Due to Related Party|6929|782843
150126|PAYROLL WITHHOLDINGS|240|780758
150753|PAYROLL WITHHOLDING LIABILITIES|775|782662
150755|WITHDRAWAL LIAB FROM MULTI-EMPLOYER PENSION PLAN|365612|782662
150754|COMPENSABLE ABSENCE|3800|782662
149368|PAYROLL LIABILITES|1549|754735
150741|Payroll taxes|2352|782635
150611|STAFF RETIREE HEALTH INSURANCE FUND|1276019|782515
150616|STAFF SEIU PENSION PMTS|36108|782515
150615|MISC ACCRUED EXPENSES|41381|782515
150614|ACCRUED FY PAYROLL|96078|782515
150613|ACCRUED STAFF VACATION/SICK LEAVE|308383|782515
150612|ACCRUED COUNCIL/CHAPTER REBATES|457537|782515
149573|Security Deposits Held|240|756469
151252|PAYROLL WITHHOLDINGS|1014|785187
149979|PAYROLL AND TAX WITHHOLDING PAYABLE|5047|777811
149981|PER CAPITA TAX PAYABLE|278169|777811
149980|ACCRUED PAID TIME OFF|43351|777811
151282|PAYROLL WITHHOLDING LIABILITIES|6833|785515
150545|Security Deposit|3760|782352
150546|Payroll Taxes/Withholdings Due|15810|782352
150099|PAYROLL WITHHOLDINGS PAYABLE|2015|780697
150486|Per Capita Payable|7961|782283
150487|PPP Loan|17217|782283
150446|PAYROLL WITHHOLDINGS NOT REMITTED AT YEAR END|3317|782248
150357|Payroll Taxes Payable|21886|782137
150358|Accrued Vacation Pay|9028|782137
150693|PAYROLL & OTHER WITHHOLDING & BENEFITS PAYABLE|74143|782592
150369|Payroll Withholdings|1507|782147
150354|FED/FICA|3168|782136
150356|ACCRUED U. C. TAXES|42|782136
150355|STATE AND COUNTY WITHHOLDING|494|782136
150951|Accrued Payroll|15509|782888
150954|Tenant Improvement Allowance |211238|782888
150953|Deferred Rent |29253|782888
150952|Credit Cards |2869|782888
151064|BONDS PAYABLE|42709|783001
151065|DEFERRED REVENUES |65870|783001
150665|Payroll liabilities|28201|782560
149882|PAYROLL TAXES PAYABLES|280|776615
150687|Per Capita Tax Payable|33134|782587
150688|Payroll Taxes Payable|3038|782587
144717|Payroll withholdings|2523|741505
150759|Life Insurance Premiums Payable|5574|782670
149591|UFCW STAFF PENSION CONTRIBUTION|46394|765215
149593|457B ACCRUAL|98232|765215
149592|PAYROLL LIABILITIES|63169|765215
150509|Severance Payable|271190|782303
150299|Payroll withholdings|75|782067
149887|Federal Income Taxes Payable|84|777343
149888|Deferred Rent|39073|777343
150200|Payable Taxes|984|781925
150655|Accrued Payroll Taxes|471|782554
150661|Accrued Property Taxes|8818|782554
150660|Accrued Payroll|1426|782554
150659|Working Dues Payable|382|782554
150658|Payroll Taxes Withheld|2017|782554
150657|Employee Benefits Payable|5216|782554
150656|Per Capita Taxes|12340|782554
149626|DEFERRED REVENUE|1103110|766048
149628|ACCRUED PAYROLL TAXES|188000|766048
149627|PAYROLL WITHHOLDINGS|357|766048
150605|PAYROLL AND WITHHOLDINGS PAYABLE |7486|782501
150267|PAYROLL TAX DEDUCTIONS|215|782032
150035|Payroll Tax Liabilities|4726|779281
150036|Credit Cards Payable|5375|779281
150320|Accrued Vacation|1079946|782100
150322|Due to Local Units|1110695|782100
150321|Accrued Expenses|109127|782100
150534|Deferred Revenue for Contract Allocation|17728346|782336
150541|Medical Insurance Payable|60394|782336
150540|Deferred Rent|82899|782336
150539|Title Holding Company Accruals|145680|782336
150538|Retirement Plan Payable|214491|782336
150537|Accrued Vacation|1787257|782336
150536|Other Accrued Liabilities|3172979|782336
150535|Postretirement Benefits Payable|3689194|782336
150822|EMPLOYER BOND DEPOSITS|224570|782774
150824|DUE TO LOCALS|41138|782774
150823|PAYROLL WITHHOLDINGS NOT REMITTED AT YEAR END|129395|782774
150037|Payroll Liabilities|1629|779336
150860|WITHHELD BENEFITS|169|782829
149915|CREDIT CARD PAYABLE|907552|777594
149917|UAPAC FUND|109962|777594
149916|PAYROLL LIABILITIES|136017|777594
150167|OVERPAYMENT OF DUES|7718|780878
150168|WITHHOLDING TAX|3550|780878
151253|ACCRUED EXPENSES|8367|785199
151254|PER CAPITA TAXES PAYABLE|70585|785199
150997|PAYROLL TAX DEDUCTIONS|1385|782923
150998|PER CAPITA PAYABLE|33275|782923
150739|Payroll Liabilities |8019|782632
150617|Payroll tax withholdings|1224|782517
150114|Payroll Liabilities |1598|780732
150115|Vacation Payable|1760|780732
151099|Accrued Expenses|113|783029
